evidence_id,disease_id,drug_name,normalized_drug_name,canonical_drug_id,match_status
imev_e5c89dc7db5a5cb2,Colon,Refametinib,refametinib,cdrug_8bfd50149ba3e72c,evidence_only
imev_87595fc7e0a5cfee,Colon,LMP744,lmp744,cdrug_25c95fa72ddae840,evidence_only
imev_8bc198a0c2fb3493,Colon,Trametinib,trametinib,cdrug_18e3cf278c38ce2a,matched
imev_ac560f8eafad5f97,Colon,AZD2014,azd2014,cdrug_6db1bafe8fb867b7,matched
imev_5a575a609891d060,Colon,AZD6482,azd6482,cdrug_06622178d9ceb258,matched
imev_0024bfa5010de968,Colon,PD0325901,pd0325901,cdrug_437729aca9b5a6f7,evidence_only
imev_c80adb8b0a6613e8,Colon,Epirubicin,epirubicin,cdrug_34152dace9ff98c9,matched
imev_ebd322906d1b5216,Colon,Bortezomib,bortezomib,cdrug_5b0d446d35d3790d,matched
imev_54d1da53bda80672,Colon,Irinotecan,irinotecan,cdrug_da0375af747f9b98,matched
imev_f6545bd62cc43f70,Colon,Vinblastine,vinblastine,cdrug_f8909ca4d8abdc96,matched
imev_bac95bf5dbc6e2a5,Colon,Vinorelbine,vinorelbine,cdrug_b927e4cdcac90f13,matched
imev_7c2de292b3f5428b,Colon,Temsirolimus,temsirolimus,cdrug_ec25ee06790a07e7,matched
imev_4267274dcd0c4b83,HNSC,Buparlisib,buparlisib,cdrug_e6882f20c467ce5f,matched
imev_f71ba6b583e13383,HNSC,Irinotecan,irinotecan,cdrug_da0375af747f9b98,matched
imev_0c8c4c28d9a14df2,HNSC,SN-38,sn-38,cdrug_d82e10aee750f670,matched
imev_22faa75af63725e9,HNSC,Afatinib,afatinib,cdrug_b211aef3f5543386,matched
imev_67cb5dc347c64d7c,HNSC,Camptothecin,camptothecin,cdrug_a286fdd293b9be53,matched
imev_6e14d6553e264bdc,HNSC,Romidepsin,romidepsin,cdrug_2e9ab8a291ff1bc8,matched
imev_00498af7287ffc9c,HNSC,BI-2536,bi-2536,cdrug_5e43b24a58c005d7,matched
imev_3b74c7110d3c51e3,HNSC,Trametinib,trametinib,cdrug_18e3cf278c38ce2a,matched
imev_827dcc6794ba282b,HNSC,Talazoparib,talazoparib,cdrug_ec05f6bf5cc73f6e,matched
imev_3877ff363303fbdd,HNSC,Foretinib,foretinib,cdrug_ef43b4351b3144ee,matched
imev_98ad9d4de4dc3cb8,HNSC,Ribociclib,ribociclib,cdrug_e642845b7af9f923,matched
imev_f2b8fc4ae7bd9b1e,HNSC,MK-2206,mk-2206,cdrug_d464ce63544cc204,matched
imev_fe1cc61e9f3bb190,HNSC,Elesclomol,elesclomol,cdrug_52692989966fe3dc,matched
imev_832526b784e64e15,HNSC,Entinostat,entinostat,cdrug_58450c4db13a14e1,matched
imev_01798136c5b9fd57,HNSC,Lapatinib,lapatinib,cdrug_d6afb6f031e7fe30,matched
imev_f03352bb0df56b75,HNSC,Alisertib,alisertib,cdrug_1ac4a2d6c19d68f5,matched
imev_9cef288b5e49d908,HNSC,Palbociclib,palbociclib,cdrug_a54fa6b388237c1c,matched
imev_188579b87c63d5fb,HNSC,MG-132,mg-132,cdrug_371d0df931c65f11,matched
imev_3a9590c06c468fee,HNSC,Uprosertib,uprosertib,cdrug_6a5a5a0a0c643307,matched
imev_e5b91bc920aa7944,HNSC,Gefitinib,gefitinib,cdrug_6fae7753ea49d2b0,matched
imev_b04d78df7dfd65e1,HNSC,Paclitaxel,paclitaxel,cdrug_20b83add6b9c4f21,matched
imev_8d105801524bbd92,HNSC,Methotrexate,methotrexate,cdrug_eee02d6dc017f95a,matched
imev_1d831b8b094eefdc,HNSC,Temsirolimus,temsirolimus,cdrug_ec25ee06790a07e7,matched
imev_6a841b84b5e426a4,HNSC,Topotecan,topotecan,cdrug_c40413853cfa1088,matched
