evidence_id,disease_id,cluster_id,drug_id,drug_name,rank,tier,target,target_pathway,evidence_text,source_file,source_row_number,raw_json
imev_5874a5510950845b,BRCA,imcluster_c8239e0289f45dff,1018,Veliparib,19,,"PARP1, PARP2",Genome integrity,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,23,"{""canonical_drug_id"": ""1018"", ""cluster_n_cases"": ""121"", ""drug_name"": ""Veliparib"", ""drug_rank"": ""19"", ""majority_cluster"": ""C2"", ""pathway"": ""Genome integrity"", ""rationale"": ""PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%"", ""target"": ""PARP1, PARP2""}"
imev_380dbd79c03b15f5,BRCA,imcluster_c8239e0289f45dff,1931,MIRA-1,20,,TP53,p53 pathway,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%,BRCA_drug_linkage.csv,24,"{""canonical_drug_id"": ""1931"", ""cluster_n_cases"": ""121"", ""drug_name"": ""MIRA-1"", ""drug_rank"": ""20"", ""majority_cluster"": ""C2"", ""pathway"": ""p53 pathway"", ""rationale"": ""PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%"", ""target"": ""TP53""}"
imev_050c2c69cb367597,BRCA,imcluster_a23ed182f842b36b,1375,Temozolomide,5,,DNA alkylating agent,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,25,"{""canonical_drug_id"": ""1375"", ""cluster_n_cases"": ""9"", ""drug_name"": ""Temozolomide"", ""drug_rank"": ""5"", ""majority_cluster"": ""C3"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"", ""target"": ""DNA alkylating agent""}"
imev_da76f12c68a868ef,BRCA,imcluster_a23ed182f842b36b,1615,CZC24832,7,,PI3Kgamma,PI3K/MTOR signaling,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,26,"{""canonical_drug_id"": ""1615"", ""cluster_n_cases"": ""9"", ""drug_name"": ""CZC24832"", ""drug_rank"": ""7"", ""majority_cluster"": ""C3"", ""pathway"": ""PI3K/MTOR signaling"", ""rationale"": ""PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"", ""target"": ""PI3Kgamma""}"
imev_1527b6b8e28af700,BRCA,imcluster_a23ed182f842b36b,1089,Oxaliplatin,9,,DNA alkylating agent,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,27,"{""canonical_drug_id"": ""1089"", ""cluster_n_cases"": ""9"", ""drug_name"": ""Oxaliplatin"", ""drug_rank"": ""9"", ""majority_cluster"": ""C3"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"", ""target"": ""DNA alkylating agent""}"
imev_39e1842bfa3101d1,BRCA,imcluster_a23ed182f842b36b,1813,Fludarabine,10,,Antimetabolite,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,28,"{""canonical_drug_id"": ""1813"", ""cluster_n_cases"": ""9"", ""drug_name"": ""Fludarabine"", ""drug_rank"": ""10"", ""majority_cluster"": ""C3"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"", ""target"": ""Antimetabolite""}"
imev_6ab2727ebf7b06ef,BRCA,imcluster_a23ed182f842b36b,1067,CCT007093,12,,PPM1D,Cell cycle,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,29,"{""canonical_drug_id"": ""1067"", ""cluster_n_cases"": ""9"", ""drug_name"": ""CCT007093"", ""drug_rank"": ""12"", ""majority_cluster"": ""C3"", ""pathway"": ""Cell cycle"", ""rationale"": ""PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"", ""target"": ""PPM1D""}"
imev_d0c1e6d6703c6820,BRCA,imcluster_a23ed182f842b36b,2360,THR-101,14,,Mutant RAS,PI3K/MTOR signaling,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,30,"{""canonical_drug_id"": ""2360"", ""cluster_n_cases"": ""9"", ""drug_name"": ""THR-101"", ""drug_rank"": ""14"", ""majority_cluster"": ""C3"", ""pathway"": ""PI3K/MTOR signaling"", ""rationale"": ""PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"", ""target"": ""Mutant RAS""}"
imev_08387e6c2b0cffbd,BRCA,imcluster_a23ed182f842b36b,1814,Nelarabine,18,,,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,31,"{""canonical_drug_id"": ""1814"", ""cluster_n_cases"": ""9"", ""drug_name"": ""Nelarabine"", ""drug_rank"": ""18"", ""majority_cluster"": ""C3"", ""pathway"": ""DNA replication"", ""rationale"": ""PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"", ""target"": """"}"
imev_2c1681b23b4ffec3,BRCA,imcluster_a23ed182f842b36b,1018,Veliparib,19,,"PARP1, PARP2",Genome integrity,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}",BRCA_drug_linkage.csv,32,"{""canonical_drug_id"": ""1018"", ""cluster_n_cases"": ""9"", ""drug_name"": ""Veliparib"", ""drug_rank"": ""19"", ""majority_cluster"": ""C3"", ""pathway"": ""Genome integrity"", ""rationale"": ""PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"", ""target"": ""PARP1, PARP2""}"
