alias_id,canonical_drug_id,source_drug_id,alias_name,normalized_alias,alias_type
dalias_fc292c2d79bad300,cdrug_a0f92608891f8025,1179,MK-1775,mk-1775,source_drug
dalias_170c7fd2aa88e136,cdrug_a286fdd293b9be53,1003,Camptothecin,camptothecin,source_drug
dalias_3ef0c662f811dafa,cdrug_a36d9933974f8f30,CHEMBL1790180,ENDOTHELIN 3,endothelin 3,source_drug
dalias_7553ced5e127fa70,cdrug_a49713e61b9488b9,CHEMBL1171837,Ponatinib,ponatinib,source_drug
dalias_74ca4d5862e6949a,cdrug_a54fa6b388237c1c,1054,Palbociclib,palbociclib,source_drug
dalias_7d32d029b4606951,cdrug_a5becdc6d434f216,1373,Dabrafenib,dabrafenib,source_drug
dalias_8ff49661360228ad,cdrug_a7bbf7d59d42b1d0,1736,Selumetinib,selumetinib,source_drug
dalias_56a51094add16f0d,cdrug_aa3d2c1a9aafcd29,CHEMBL3786343,OLMUTINIB,olmutinib,source_drug
dalias_58433b517a45b29f,cdrug_aaf10765e5ffd5ca,CHEMBL293830,CHEMBL293830,chembl293830,source_drug
dalias_6fd9019d6fc3c7b1,cdrug_ada9a241625f20a0,CHEMBL4297865,ABIVERTINIB,abivertinib,source_drug
dalias_e0bea7f4b6ce522e,cdrug_b033da73883a15bf,CHEMBL2103873,MACITENTAN,macitentan,source_drug
dalias_f5fab262de417a59,cdrug_b211aef3f5543386,1032,Afatinib,afatinib,source_drug
dalias_f0578f9b16108b15,cdrug_b322f758af23765d,1594,OSI-027,osi-027,source_drug
dalias_bc21952d36eec78d,cdrug_b54eff7903acd6dd,,unnamed lead (CHEMBL304460),unnamed lead (chembl304460),evidence_only
dalias_bfb6e5db913213a6,cdrug_b59f08cae9af07cf,CHEMBL4128926,CHEMBL4128926,chembl4128926,source_drug
dalias_fe85b24e85d29d05,cdrug_b5ca35ac2b9b34ae,CHEMBL4085457,RITLECITINIB,ritlecitinib,source_drug
dalias_961eb1c9610fa976,cdrug_b927e4cdcac90f13,2048,Vinorelbine,vinorelbine,source_drug
dalias_114d40dbfbedf8fc,cdrug_bd7982d23450b140,1813,Fludarabine,fludarabine,source_drug
dalias_7bab2f3617f485da,cdrug_bdc8af0e6cb00c24,CHEMBL4065122,FENEBRUTINIB,fenebrutinib,source_drug
dalias_489c1afc6b08c51d,cdrug_bfd53d5593322ba1,CHEMBL1078178,MOMELOTINIB,momelotinib,source_drug
dalias_1b4de94665f05b80,cdrug_c1fbc2e27a32152b,CHEMBL4594420,LUXEPTINIB,luxeptinib,source_drug
dalias_568554230545ff88,cdrug_c3144dbb448019d0,CHEMBL193240,ROFLUMILAST,roflumilast,source_drug
dalias_0373884e4aa0d919,cdrug_c40413853cfa1088,1808,Topotecan,topotecan,source_drug
dalias_dbe45bcf9e02a6c5,cdrug_c44992701a33be56,1089,Oxaliplatin,oxaliplatin,source_drug
dalias_c9c9084d5b59f166,cdrug_c5b9cce13ea878bc,CHEMBL4594441,IFIDANCITINIB,ifidancitinib,source_drug
dalias_2a7f952428160481,cdrug_c60565d68183fdce,CHEMBL3702854,RILZABRUTINIB,rilzabrutinib,source_drug
dalias_23b414467e76502f,cdrug_c7bcca826492e28a,,CCT007093,cct007093,evidence_only
dalias_e277a6ce9825a10e,cdrug_c86910ec6034862f,CHEMBL3885244,CHEMBL3885244,chembl3885244,source_drug
dalias_e05c67423b4d52c1,cdrug_c8c9b4017be1244b,1812,Bleomycin,bleomycin,source_drug
dalias_70790db2fe169897,cdrug_c8c9b4017be1244b,1378,Bleomycin (50 uM),bleomycin,source_drug
dalias_782faf8c8b6d6937,cdrug_cbcd649f573196df,,THR-101,thr-101,evidence_only
dalias_fe87949159527654,cdrug_ce69c6cebcd8dfd2,CHEMBL3774897,CHEMBL3774897,chembl3774897,source_drug
dalias_b13847c9292a614b,cdrug_ceaf5c410c5875aa,CHEMBL1336,Sorafenib,sorafenib,source_drug
dalias_0eab7aec65913266,cdrug_cf22ebf86bc799b9,CHEMBL1916488,CHEMBL1916488,chembl1916488,source_drug
dalias_dee61c476044a4a4,cdrug_d2710deb05a2dc71,CHEMBL4297674,BRANEBRUTINIB,branebrutinib,source_drug
dalias_1d888491bf619813,cdrug_d464ce63544cc204,1053,MK-2206,mk-2206,source_drug
dalias_67a8081f5cf96c00,cdrug_d6afb6f031e7fe30,1558,Lapatinib,lapatinib,source_drug
dalias_efa72331767bd21f,cdrug_d7507e18dc17e5bb,2157,A-366,a-366,source_drug
dalias_38ce83ef44b641a6,cdrug_d7c443e54c9eadf0,CHEMBL4756476,NEMTABRUTINIB,nemtabrutinib,source_drug
dalias_ab64862586c6edce,cdrug_d8014f6e4666f0f3,,MIRA-1,mira-1,evidence_only
dalias_fa5e04d9c099bcab,cdrug_d82e10aee750f670,1494,SN-38,sn-38,source_drug
dalias_3d57508b820485eb,cdrug_da0375af747f9b98,1088,Irinotecan,irinotecan,source_drug
dalias_fea6870aebe34d43,cdrug_dcbd986d79b579e6,CHEMBL1111,AMBRISENTAN,ambrisentan,source_drug
dalias_5bbe0c3c54911618,cdrug_de6562320c068a28,CHEMBL4483575,REMIBRUTINIB,remibrutinib,source_drug
dalias_1aa7daf94fa4424a,cdrug_deeb078577e471b3,CHEMBL1916486,CHEMBL1916486,chembl1916486,source_drug
dalias_662574e551493513,cdrug_df3eadc8b893ce39,1621,PCI-34051,pci-34051,source_drug
dalias_f6de0937166047d7,cdrug_e2af88ecc84c41e5,1011,Navitoclax,navitoclax,source_drug
dalias_eef1f8dc14c4bf02,cdrug_e31f8ab133e9cdba,CHEMBL3989927,IBERDOMIDE,iberdomide,source_drug
dalias_a86ada19b9b3a8fa,cdrug_e33512555752f796,1026,Tanespimycin,tanespimycin,source_drug
dalias_64721c3da4994684,cdrug_e408623f8a2d3a7b,1529,Pevonedistat,pevonedistat,source_drug
dalias_497a3aa60f2b06e9,cdrug_e51609b82211809e,2499,N-acetyl cysteine,n-acetyl cysteine,source_drug
dalias_f52c0ad75b14e2a6,cdrug_e5fd561d9df3b53b,CHEMBL3654363,CHEMBL3654363,chembl3654363,source_drug
