eval_mode,ensemble_spearman,ensemble_pearson,ensemble_kendall_tau,ensemble_rmse,ensemble_mae,ensemble_r2,best_single_model,best_single_spearman,spearman_gain_vs_best_single,n_rows
cv,0.8149382240404681,0.8700153680501371,0.6329764078539712,1.416291903401515,1.0807051768393812,0.736522668545629,ResidualMLP,0.8269727537582111,-0.012034529717742992,125427
groupcv,0.46879003486744464,0.5211581784254085,0.32779760407388087,2.360945907693402,1.782093910834213,0.2678336159025504,XGBoost,0.44013074670694685,0.028659288160497787,125427
holdout,0.8157714921124634,0.869942572814738,0.6345338951262456,1.403371747873385,1.0679148098793338,0.7365402173880146,ResidualMLP,0.830258476569531,-0.014486984457067642,25086
scaffoldcv,0.46892888668917904,0.5273469644318936,0.32829980354005467,2.3516205922383104,1.7618379695196238,0.2736060466988368,ResidualMLP,0.4486610123313122,0.02026787435786681,125427
unseen_drug,0.44634890760867074,0.5495355768903016,0.311881482496382,2.3984661060832297,1.8219654084389008,0.2928064573185206,LightGBM,0.4791258771654454,-0.03277696955677467,24092
