phase,model,cv,folds,spearman_mean,spearman_std,rmse_mean,mae_mean,r2_mean,seconds_sum
2B,CatBoost,cv5,5,0.9379128378355898,0.00010834030819240458,1.1767704193580362,0.5234128628185163,0.895413024912291,691.5
2B,CatBoost,groupcv,5,0.9391193059447751,3.6550021102508196e-06,1.1657674758581025,0.5165213985470429,0.8973613288576369,687.65
2B,CatBoost,scaffoldcv,5,0.9381348202364395,0.017662059379413095,1.1598996809136934,0.5283490891240981,0.8961644215172099,737.3299999999999
2B,LightGBM,cv5,5,0.9339944131004205,0.00024220940578543497,1.2112820422823578,0.5280642775905768,0.8891889078156726,229.19
2B,LightGBM,groupcv,5,0.9391521929984252,5.847211007825592e-07,1.165373877282709,0.5079935030000974,0.897430625053353,228.51
2B,LightGBM,scaffoldcv,5,0.9381459941530477,0.017669061084140708,1.153486326530645,0.5224451415700947,0.8969312815565411,257.45
2B,XGBoost,cv5,5,0.9322917164546333,9.813205581543264e-05,1.2250630085389578,0.5254034519195556,0.8866524815559387,1048.2199999999998
2B,XGBoost,groupcv,5,0.9391581419555278,1.7714807194479928e-07,1.1652868808293415,0.5032427430152893,0.8974459409713745,1039.37
2B,XGBoost,scaffoldcv,5,0.9381945560271656,0.017656657375559034,1.2066605084958497,0.5242170214653015,0.8867031693458557,1042.33
