molecule_chembl_id,target_label,activity_id,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,document_chembl_id,ln_ic50,gene,target_notes,target_pref_name
CHEMBL4440789,PDE5,19231653,CHEMBL1827,IC50,=,1.69,nM,8.77,CHEMBL4397429,CHEMBL4396872,0.5247285289349821,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4440988,TGFBR1,18980206,CHEMBL4439,IC50,=,0.9,nM,9.05,CHEMBL4339037,CHEMBL4334552,-0.10536051565782628,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4441262,PDE5,19028016,CHEMBL1827,IC50,>,20000.0,nM,,CHEMBL4348840,CHEMBL4346703,9.903487552536127,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL444157,PDE5,2587972,CHEMBL1827,IC50,=,0.62,nM,9.21,CHEMBL962323,CHEMBL1152155,-0.4780358009429998,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL444354,PDE5,1435038,CHEMBL1827,IC50,=,40.0,nM,7.4,CHEMBL828414,CHEMBL1142799,3.6888794541139363,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4443611,TGFBR1,19411410,CHEMBL4439,IC50,=,15.85,nM,7.8,CHEMBL4427614,CHEMBL4425174,2.7631695003232895,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4444355,ETA,19405731,CHEMBL252,IC50,=,9.4,nM,8.03,CHEMBL4426323,CHEMBL4425117,2.2407096892759584,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4444355,ETB,19405768,CHEMBL1785,IC50,=,315.0,nM,6.5,CHEMBL4426324,CHEMBL4425117,5.752572638825633,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4444940,PDE5,19231663,CHEMBL1827,IC50,=,0.83,nM,9.08,CHEMBL4397429,CHEMBL4396872,-0.18632957819149348,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4445920,PDE5,24873453,CHEMBL1827,IC50,=,100.0,nM,7.0,CHEMBL5153773,CHEMBL5150062,4.605170185988092,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4446613,TGFBR1,19411417,CHEMBL4439,IC50,=,31.62,nM,7.5,CHEMBL4427614,CHEMBL4425174,3.453789831781326,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL44467,PDE5,961267,CHEMBL1827,IC50,=,20.0,nM,7.7,CHEMBL763673,CHEMBL1129550,2.995732273553991,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4447261,ETA,19405680,CHEMBL252,IC50,=,35.0,nM,7.46,CHEMBL4426307,CHEMBL4425117,3.5553480614894135,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4447399,TGFBR1,19453929,CHEMBL4439,IC50,=,25.0,nM,7.6,CHEMBL4434540,CHEMBL4433262,3.2188758248682006,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4447510,TGFBR1,19411414,CHEMBL4439,IC50,=,3.162,nM,8.5,CHEMBL4427614,CHEMBL4425174,1.1512047387872804,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4447655,ETA,19405684,CHEMBL252,IC50,=,13000.0,nM,4.89,CHEMBL4426307,CHEMBL4425117,9.472704636443673,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4447655,ETB,19405662,CHEMBL1785,IC50,=,60.0,nM,7.22,CHEMBL4426310,CHEMBL4425117,4.0943445622221,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4448273,ETA,19405738,CHEMBL252,IC50,=,1.0,nM,9.0,CHEMBL4426323,CHEMBL4425117,0.0,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4448273,ETB,19405775,CHEMBL1785,IC50,=,42.0,nM,7.38,CHEMBL4426324,CHEMBL4425117,3.7376696182833684,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4449731,ETA,19405730,CHEMBL252,IC50,=,2.2,nM,8.66,CHEMBL4426323,CHEMBL4425117,0.7884573603642703,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4449731,ETB,19405767,CHEMBL1785,IC50,>,1000.0,nM,,CHEMBL4426324,CHEMBL4425117,6.907755278982137,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL44508,PDE5,976504,CHEMBL1827,IC50,=,150.0,nM,6.82,CHEMBL763673,CHEMBL1129550,5.0106352940962555,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL445101,ETA,1286671,CHEMBL252,IC50,=,0.97,nM,9.01,CHEMBL682359,CHEMBL1130344,-0.030459207484708574,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL445101,ETB,1286672,CHEMBL1785,IC50,=,4800.0,nM,5.32,CHEMBL670644,CHEMBL1130344,8.476371196895983,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4451855,PDE5,18859248,CHEMBL1827,IC50,>,200000.0,nM,,CHEMBL4308412,CHEMBL4304825,12.206072645530174,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4452178,TGFBR1,27583643,CHEMBL4439,IC50,=,5.3,nM,8.28,CHEMBL5733687,CHEMBL5726926,1.667706820558076,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4452818,TGFBR1,19411412,CHEMBL4439,IC50,=,12.59,nM,7.9,CHEMBL4427614,CHEMBL4425174,2.532902848056256,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4453060,TGFBR1,19453923,CHEMBL4439,IC50,=,11.0,nM,7.96,CHEMBL4434540,CHEMBL4433262,2.3978952727983707,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4453606,TGFBR1,18902123,CHEMBL4439,IC50,>,10000.0,nM,,CHEMBL4316522,CHEMBL4312039,9.210340371976184,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL44539,ETA,1070081,CHEMBL252,IC50,=,214.0,nM,6.67,CHEMBL682358,CHEMBL1130042,5.365976015021851,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL44539,ETB,1070082,CHEMBL1785,IC50,=,19500.0,nM,4.71,CHEMBL670643,CHEMBL1130042,9.878169744551839,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL44544,ETA,1304629,CHEMBL252,IC50,=,3.9,nM,8.41,CHEMBL682359,CHEMBL1130344,1.3609765531356006,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL44544,ETB,1304630,CHEMBL1785,IC50,=,12200.0,nM,4.91,CHEMBL670644,CHEMBL1130344,9.409191230721348,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL445457,PDE5,2587977,CHEMBL1827,IC50,=,100.0,nM,7.0,CHEMBL962323,CHEMBL1152155,4.605170185988092,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4455044,TGFBR1,19070755,CHEMBL4439,IC50,=,116.0,nM,6.94,CHEMBL4361670,CHEMBL4359846,4.7535901911063645,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4455096,ETA,19405650,CHEMBL252,IC50,=,10000.0,nM,5.0,CHEMBL4426309,CHEMBL4425117,9.210340371976184,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4455096,ETB,19405667,CHEMBL1785,IC50,=,8500.0,nM,5.07,CHEMBL4426310,CHEMBL4425117,9.047821442478408,EDNRB,Endothelin-B receptor,Endothelin receptor type B
