phase,model,evaluation,fold,train_rows,valid_rows,train_spearman,train_rmse,valid_spearman,valid_rmse,spearman_gap,rmse_gap
phase2a,RandomForest,holdout,1,46368,11592,1.0,0.0,1.0,0.0,0.0,0.0
phase2a,RandomForest,drug_groupcv,1,38640,19320,1.0,0.0,0.7909918703169209,1.7909237187258693,0.20900812968307914,1.7909237187258693
phase2a,RandomForest,drug_groupcv,2,38640,19320,1.0,0.0,0.9098058174100315,1.5582916408029235,0.09019418258996847,1.5582916408029235
phase2a,RandomForest,drug_groupcv,3,38640,19320,1.0,0.0,0.8941394473336185,1.920631549242275,0.1058605526663815,1.920631549242275
phase2a,RandomForest,scaffoldcv,1,38640,19320,0.9999999999999999,0.0,0.8681800060052551,1.889150753872888,0.13181999399474476,1.889150753872888
phase2a,RandomForest,scaffoldcv,2,38640,19320,1.0,0.0,0.7620340888805383,2.5462444142402263,0.23796591111946175,2.5462444142402263
phase2a,RandomForest,scaffoldcv,3,38640,19320,1.0,0.0,0.8489990018093383,1.9978940332638733,0.1510009981906617,1.9978940332638733
phase2a,ExtraTrees,holdout,1,46368,11592,1.0,0.0,1.0,0.0,0.0,0.0
phase2a,ExtraTrees,drug_groupcv,1,38640,19320,1.0,0.0,0.8580503905150182,1.644259368211976,0.1419496094849818,1.644259368211976
phase2a,ExtraTrees,drug_groupcv,2,38640,19320,1.0,0.0,0.9509946142363358,1.1642835726714258,0.0490053857636642,1.1642835726714258
phase2a,ExtraTrees,drug_groupcv,3,38640,19320,1.0,0.0,0.9018749229061304,1.8244351620791766,0.09812507709386964,1.8244351620791766
phase2a,ExtraTrees,scaffoldcv,1,38640,19320,0.9999999999999999,0.0,0.9374614530652522,1.402684936255427,0.0625385469347477,1.402684936255427
phase2a,ExtraTrees,scaffoldcv,2,38640,19320,1.0,0.0,0.81448356461319,1.8415364895909963,0.18551643538680995,1.8415364895909963
phase2a,ExtraTrees,scaffoldcv,3,38640,19320,1.0,0.0,0.9576882766628372,1.320244125870364,0.04231172333716282,1.320244125870364
phase2a,LightGBM,holdout,1,46368,11592,0.9999204607953294,0.022939428662336947,0.9999202683963415,0.023206323300312703,1.9239898785272658e-07,0.0002668946379757557
phase2a,LightGBM,drug_groupcv,1,38640,19320,0.999942202107376,0.01738377356526121,0.778819465860729,1.9554282095731221,0.22112273624664702,1.938044436007861
phase2a,LightGBM,drug_groupcv,2,38640,19320,0.9999344953049907,0.020423126929050524,0.9102236037284738,1.455955174122966,0.0897108915765169,1.4355320471939155
phase2a,LightGBM,drug_groupcv,3,38640,19320,0.9999499071577846,0.016276991461685517,0.8896838896984405,1.8705462406992843,0.11026601745934417,1.8542692492375987
phase2a,LightGBM,scaffoldcv,1,38640,19320,0.9999383468873375,0.019582017318427458,0.9180621091730913,1.579788889863158,0.08187623771424624,1.5602068725447307
phase2a,LightGBM,scaffoldcv,2,38640,19320,0.9999460549963509,0.01720118869288107,0.7852384318039469,2.1959205216998803,0.214707623192404,2.1787193330069994
phase2a,LightGBM,scaffoldcv,3,38640,19320,0.999895963074655,0.019190040561554503,0.8977980649902916,1.7317504962223278,0.10209789808436343,1.7125604556607732
