canonical_drug_id,drug_name,pred_label_regression,pred_rank,phase,model
,Secukinumab,,,phase2b,XGBoost
,Ixekizumab,,,phase2b,XGBoost
,Ustekinumab,,,phase2b,XGBoost
,Guselkumab,,,phase2b,XGBoost
,Risankizumab,,,phase2b,XGBoost
,Methotrexate,,,phase2b,XGBoost
,Cyclosporine,,,phase2b,XGBoost
CHEMBL4435170,DEUCRAVACITINIB,-8.253431236029437,8.0,phase2b,CatBoost
CHEMBL221959,TOFACITINIB,-8.201315329363492,9.0,phase2b,CatBoost
CHEMBL2105759,BARICITINIB,-7.3605478273051705,15.0,phase2b,CatBoost
CHEMBL514800,APREMILAST,-4.027208071377985,56.0,phase2b,CatBoost
,Adalimumab,,,phase2b,CatBoost
,Etanercept,,,phase2b,CatBoost
,Secukinumab,,,phase2b,CatBoost
,Ixekizumab,,,phase2b,CatBoost
,Ustekinumab,,,phase2b,CatBoost
,Guselkumab,,,phase2b,CatBoost
,Risankizumab,,,phase2b,CatBoost
,Methotrexate,,,phase2b,CatBoost
,Cyclosporine,,,phase2b,CatBoost
