canonical_drug_id,drug_name,drug_name_norm,n_pairs,li_hc_label_mean,li_hc_label_median,canonical_smiles,hcc_approved,rank_proxy_v2
1928,I-BRD9,i-brd9,15,5.206704066666666,5.401865,CCN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=CC=C4)C(F)(F)F,False,204
1030,KU-55933,ku-55933,15,5.219491466666667,5.632729,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,False,205
1047,Nutlin-3a (-),nutlin-3a (-),15,5.2251424,5.367504,CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,False,206
2043,BIBR-1532,bibr-1532,15,5.242502,5.34804,CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2,False,207
1578,Leflunomide,leflunomide,15,5.2496178,5.195591,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,False,208
1089,Oxaliplatin,oxaliplatin,15,5.289240333333334,5.206773,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,False,209
1072,Avagacestat,avagacestat,15,5.290108466666667,5.400875,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,False,210
1373,Dabrafenib,dabrafenib,15,5.2915095999999995,5.569589,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,False,211
1131,PRIMA-1MET,prima-1met,15,5.3378764,5.840314,COCC1(CO)N2CCC(CC2)C1=O,False,212
2360,THR-101,thr-101,14,5.34087,5.3807975,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,False,213
1042,Doramapimod,doramapimod,15,5.374869066666666,5.605592,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,False,214
1033,Vismodegib,vismodegib,15,5.404978799999999,5.458016,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,False,215
1043,JNK Inhibitor VIII,jnk inhibitor viii,15,5.419496866666666,5.58513,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,False,216
1615,CZC24832,czc24832,15,5.4826928666666666,5.462926,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F,False,217
1020,Lenalidomide,lenalidomide,15,5.497540133333334,5.599335,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,False,218
2157,A-366,a-366,14,5.497777214285714,5.4648085,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,False,219
1813,Fludarabine,fludarabine,15,5.516218733333333,6.145839,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,False,220
