model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.18421052631578946,0,no_data
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.1956521739130435,3,no_data
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.1956521739130435,7,no_data
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,half_life_obach,Excretion,Half-Life,regression,no_match,0.18421052631578946,2,no_data
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.18421052631578946,0,no_data
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.18421052631578946,0,no_data
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.17647058823529413,0,no_data
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.19444444444444445,3,no_data
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,exact,1.0,2,measured
ExtraTrees,CHEMBL1789941,RUXOLITINIB,1,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.18421052631578946,-3,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.2463768115942029,-4,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.3939393939393939,1,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.3770491803278688,0,no_data
ExtraTrees,CHEMBL42126,PICLAMILAST,2,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.3870967741935484,1,no_data
