cluster,n_patients,APC_mut_count,APC_mut_rate,TP53_mut_count,TP53_mut_rate,KRAS_mut_count,KRAS_mut_rate,PIK3CA_mut_count,PIK3CA_mut_rate,SMAD4_mut_count,SMAD4_mut_rate,BRAF_mut_count,BRAF_mut_rate,MLH1_mut_count,MLH1_mut_rate,MSH2_mut_count,MSH2_mut_rate,MSH6_mut_count,MSH6_mut_rate,PMS2_mut_count,PMS2_mut_rate,EPCAM_mut_count,EPCAM_mut_rate,MMR_any_mut_count,MMR_any_mut_rate,MSI_H_proxy_count,MSI_H_proxy_rate
0,9,4,0.4444444444444444,5,0.5555555555555556,3,0.3333333333333333,0,0.0,0,0.0,1,0.1111111111111111,0,0.0,1,0.1111111111111111,0,0.0,0,0.0,0,0.0,1,0.1111111111111111,1,0.1111111111111111
1,121,86,0.7107438016528925,74,0.6115702479338843,55,0.45454545454545453,40,0.3305785123966942,17,0.14049586776859505,19,0.15702479338842976,8,0.06611570247933884,6,0.049586776859504134,3,0.024793388429752067,1,0.008264462809917356,0,0.0,12,0.09917355371900827,16,0.1322314049586777
2,88,41,0.4659090909090909,28,0.3181818181818182,27,0.3068181818181818,18,0.20454545454545456,13,0.14772727272727273,6,0.06818181818181818,1,0.011363636363636364,3,0.03409090909090909,8,0.09090909090909091,2,0.022727272727272728,1,0.011363636363636364,9,0.10227272727272728,5,0.056818181818181816
3,7,6,0.8571428571428571,7,1.0,2,0.2857142857142857,2,0.2857142857142857,1,0.14285714285714285,1,0.14285714285714285,0,0.0,1,0.14285714285714285,1,0.14285714285714285,1,0.14285714285714285,0,0.0,1,0.14285714285714285,0,0.0
