cluster,n_patients,TP53_mut_count,TP53_mut_rate,CDH1_mut_count,CDH1_mut_rate,ARID1A_mut_count,ARID1A_mut_rate,PIK3CA_mut_count,PIK3CA_mut_rate,ERBB2_mut_count,ERBB2_mut_rate,KRAS_mut_count,KRAS_mut_rate
0,159,74,0.46540880503144655,20,0.12578616352201258,40,0.25157232704402516,24,0.1509433962264151,9,0.05660377358490566,13,0.08176100628930817
1,53,24,0.4528301886792453,2,0.03773584905660377,15,0.2830188679245283,9,0.16981132075471697,4,0.07547169811320754,7,0.1320754716981132
2,13,7,0.5384615384615384,1,0.07692307692307693,2,0.15384615384615385,3,0.23076923076923078,1,0.07692307692307693,0,0.0
