canonical_drug_id,pred_ensemble_mean,ensemble_member_std_mean,n_cell_drug_rows,drug_name_display,parent_key_norm,rank_lihc_v2_directive,confidence_grade,top_model_vote_count,is_hcc_approved_anchor,anchor_note_ko,m0_mean,m1_mean,m2_mean,m3_mean,m4_mean,m5_mean,drug_name_norm,drug_name,rank,clinical_tier,clinical_tier_label_ko,tier_rationale_ko,drug_name_feat,putative_target,drug_name_norm_feat,target_pathway,target,drug__target_list,TARGET,DRUG_NAME,pred_ic50_mean
1862,1.0257088667775194,0.6237674361320243,15.0,MG-132,mg132,14.0,C,3.0,False,,1.5018781344095866,0.3519847037891547,0.666739026705424,1.2027233680089315,1.1394834438959758,2.195850070317586,mg132,MG-132,13,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,MG-132,"Proteasome, CAPN1",mg132,Protein stability and degradation,"Proteasome, CAPN1",CAPN1|PROTEASOME,CAPN1|PROTEASOME,MG-132,1.0257088667775194
1004,1.063095469710284,0.6298980023080778,14.0,Vinblastine,vinblastine,15.0,C,5.0,False,,0.5575529815895217,1.9741286784410477,1.34368611233575,0.1995355900643127,1.0639204340321675,0.7357937502009528,vinblastine,Vinblastine,14,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Vinblastine,Microtubule destabiliser,vinblastine,Mitosis,Microtubule destabiliser,MICROTUBULE DESTABILISER,MICROTUBULE DESTABILISER,Vinblastine,1.063095469710284
1003,1.115972649673621,0.7665031461464938,15.0,Camptothecin,camptothecin,16.0,C,4.0,False,,1.1839155077934265,1.7738791227340698,1.635184141000112,-0.0882588456074396,0.9003142155706882,0.0623968174060185,camptothecin,Camptothecin,15,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Camptothecin,TOP1,camptothecin,DNA replication,TOP1,TOP1,TOP1,Camptothecin,1.115972649673621
1037,1.1508748158812525,0.4506985747039804,1.0,BX795,bx795,17.0,B,5.0,False,,1.1368049383163452,1.442089557647705,1.7295430898666382,0.4229516088962555,0.6225119829177856,1.233078122138977,bx795,BX795,16,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",bx795,"Other, kinases","TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC",AURKB|AURKC|IKK|PDK1 (PDPK1)|TBK1,AURKB|AURKC|IKK|PDK1 (PDPK1)|TBK1,BX795,1.1508748158812525
1088,1.175312076042096,0.4237213142676976,15.0,Irinotecan,irinotecan,18.0,B,5.0,False,,1.0496767520904542,1.7080349763234457,0.8365707765022914,0.6403912206490835,1.5199186821778616,1.0869697829087577,irinotecan,Irinotecan,17,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Irinotecan,TOP1,irinotecan,DNA replication,TOP1,TOP1,TOP1,Irinotecan,1.175312076042096
1809,1.2019277685880665,0.3927268215146761,15.0,Teniposide,teniposide,19.0,B,5.0,False,,1.053940588235855,1.5749662299950915,0.7388265748818715,1.029527582724889,1.484538580973943,1.4421129862467448,teniposide,Teniposide,18,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Teniposide,,teniposide,DNA replication,,<NA>,<NA>,Teniposide,1.2019277685880665
1039,1.2608564674854277,0.8257773609051865,1.0,SL0101,sl0101,20.0,C,3.0,False,,0.9446534514427184,0.4741725325584411,1.0885295867919922,2.9061849117279053,1.2626780271530151,2.2275140285491943,sl0101,SL0101,19,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,SL0101,"RSK, AURKB, PIM1, PIM3",sl0101,"Other, kinases","RSK, AURKB, PIM1, PIM3",AURKB|PIM1|PIM3|RSK,AURKB|PIM1|PIM3|RSK,SL0101,1.2608564674854277
1026,1.2641354389699797,0.5474475898014908,15.0,Tanespimycin,tanespimycin,21.0,C,4.0,False,,1.1954724669456482,1.9871586084365844,0.7210424677779277,0.475856831173102,1.684159807364146,1.207045817375183,tanespimycin,Tanespimycin,20,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Tanespimycin,HSP90,tanespimycin,Protein stability and degradation,HSP90,HSP90,HSP90,Tanespimycin,1.2641354389699797
1810,1.3088061732289693,0.7647299306500271,15.0,Mitoxantrone,mitoxantrone,22.0,C,3.0,False,,1.9957950512568157,0.7996413229654232,1.1861189797520637,1.8682656506697335,0.0131330281496047,2.1081840356190997,mitoxantrone,Mitoxantrone,21,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Mitoxantrone,TOP2,mitoxantrone,DNA replication,TOP2,TOP2,TOP2,Mitoxantrone,1.3088061732289693
1034,1.5214407435754935,0.7780662656943304,15.0,Staurosporine,staurosporine,23.0,C,4.0,False,,1.3022818485895793,1.3811016917228698,2.029591608047485,1.0451534112294516,2.716032282511393,0.3811233257253965,staurosporine,Staurosporine,22,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,Staurosporine,Broad spectrum kinase inhibitor,staurosporine,RTK signaling,Broad spectrum kinase inhibitor,BROAD SPECTRUM KINASE INHIBITOR,BROAD SPECTRUM KINASE INHIBITOR,Staurosporine,1.5214407435754935
1096,1.5770846152305604,0.8803751817786347,1.0,Tozasertib,tozasertib,24.0,C,2.0,False,,2.1406009197235107,1.1113218069076538,2.1486337184906006,1.8629635572433472,-0.1834822297096252,2.356825590133667,tozasertib,Tozasertib,23,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,Tozasertib,"AURKA, AURKB, AURKC, others",tozasertib,Mitosis,"AURKA, AURKB, AURKC, others",AURKA|AURKB|AURKC|OTHERS,AURKA|AURKB|AURKC|OTHERS,Tozasertib,1.5770846152305604
1084,1.6226803891658783,0.9917325557374448,15.0,Rapamycin,rapamycin,25.0,C,2.0,False,,0.1196536978085835,2.36288556655248,1.9310230175654093,1.6260510524113974,3.1211137453715008,0.9221725463867188,rapamycin,Rapamycin,24,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Rapamycin,MTORC1,rapamycin,PI3K/MTOR signaling,MTORC1,MTORC1,MTORC1,Rapamycin,1.6226803891658783
1086,1.655757407233119,0.8303211527282238,15.0,BI-2536,bi2536,26.0,C,3.0,False,,1.1114316741625467,2.4840291023254393,1.6512019316355386,0.3653931771715482,2.7996149619420367,1.4237518787384034,bi2536,BI-2536,25,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,BI-2536,"PLK1, PLK2, PLK3",bi2536,Cell cycle,"PLK1, PLK2, PLK3",PLK1|PLK2|PLK3,PLK1|PLK2|PLK3,BI-2536,1.655757407233119
1617,1.6875195823510487,1.1156176567789962,15.0,AZD5582,azd5582,27.0,C,3.0,False,,-0.0491567472616831,3.000162450472514,1.4458058456579843,1.7776949405670166,3.1214150190353394,1.045951990286509,azd5582,AZD5582,26,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,AZD5582,"XIAP, cIAP",azd5582,Apoptosis regulation,"XIAP, cIAP",CIAP|XIAP,CIAP|XIAP,AZD5582,1.6875195823510487
1529,1.7186592387954394,0.7582442242531098,15.0,Pevonedistat,pevonedistat,28.0,C,2.0,False,,2.3029600620269775,1.764388499657313,1.6448354721069336,1.7353237390518188,0.167592254281044,2.3631739457448324,pevonedistat,Pevonedistat,27,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Pevonedistat,NAE,pevonedistat,Other,NAE,NAE,NAE,Pevonedistat,1.7186592387954394
2048,1.7430936384797096,0.4249298459692117,15.0,Vinorelbine,vinorelbine,29.0,C,1.0,False,,1.9963520526885987,2.080246329307556,1.582466435432434,1.029046545426051,1.6603206475575765,1.6888214906056722,vinorelbine,Vinorelbine,28,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Vinorelbine,Microtubule destabiliser,vinorelbine,Mitosis,Microtubule destabiliser,MICROTUBULE DESTABILISER,MICROTUBULE DESTABILISER,Vinorelbine,1.7430936384797096
1019,1.8793226240078609,0.5009869757514123,15.0,Bosutinib,bosutinib,30.0,C,1.0,False,,1.4316478967666626,2.524662327766418,2.1537823994954426,1.1878521243731182,2.006482317050298,1.7524393876393636,bosutinib,Bosutinib,29,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Bosutinib,"SRC, ABL, TEC",bosutinib,"Other, kinases","SRC, ABL, TEC",ABL|SRC|TEC,ABL|SRC|TEC,Bosutinib,1.8793226240078609
1149,1.9037720037358148,0.6486169174110686,7.0,TW 37,tw37,31.0,C,2.0,False,,1.5974638972963606,2.4332412311009,1.042428093297141,1.91375960622515,2.9042175837925504,1.3885482464517866,tw37,TW 37,30,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,TW 37,"BCL2, BCL-XL, MCL1",tw37,Apoptosis regulation,"BCL2, BCL-XL, MCL1",BCL-XL|BCL2|MCL1,BCL-XL|BCL2|MCL1,TW 37,1.9037720037358148
