candidate_id,canonical_drug_id,disease_id,rank,tier,score,evidence_summary,safety_score,verdict,admet_status,hard_fail,hard_fail_reasons,soft_flags,source_file,source_row_number
cand_6390e1b0d5b6bd2d,cdrug_da0375af747f9b98,HNSC,8,Tier 2,0.6895433647726409,타암종 승인/적응증확장 연구축,,KEEP,KEEP,,,,HNSC_final_admet.csv,8
cand_59b361da82c38c4f,cdrug_18e3cf278c38ce2a,HNSC,9,Tier 3,0.6815913183372155,,,KEEP,KEEP,,,,HNSC_final_admet.csv,9
cand_da6ff40203190034,cdrug_e33512555752f796,HNSC,10,Tier 2,0.676088399773446,타암종 승인/적응증확장 연구축,,EXCLUDE,EXCLUDE,,,,HNSC_final_admet.csv,10
cand_cfda4a8a830c0c1d,cdrug_20b83add6b9c4f21,HNSC,11,Tier 1,0.6733754199370664,두경부암 승인/표준치료 축,,EXCLUDE,EXCLUDE,,,,HNSC_final_admet.csv,11
cand_7b2a39969a7f3f5b,cdrug_ec05f6bf5cc73f6e,HNSC,12,Tier 3,0.6655889566967119,,,KEEP,KEEP,,,,HNSC_final_admet.csv,12
cand_b1a566b0fca154ea,cdrug_ef43b4351b3144ee,HNSC,13,Tier 3,0.6496447226547925,,,KEEP,KEEP,,,,HNSC_final_admet.csv,13
cand_f5e3e7a883bd2475,cdrug_9e64de7415bb3254,HNSC,14,Tier 3,0.6426407714470768,,,EXCLUDE,EXCLUDE,,,,HNSC_final_admet.csv,14
cand_6567e0cf9b387c0c,cdrug_e642845b7af9f923,HNSC,15,Tier 3,0.6421306901903481,,,KEEP,KEEP,,,,HNSC_final_admet.csv,15
cand_983ce8d20e0c5afa,cdrug_d464ce63544cc204,HNSC,16,Tier 3,0.6392164506856441,,,KEEP,KEEP,,,,HNSC_final_admet.csv,16
cand_a3ad2f35f1955bf4,cdrug_52692989966fe3dc,HNSC,17,Tier 3,0.6343061278409595,,,KEEP,KEEP,,,,HNSC_final_admet.csv,17
cand_6fbc6cf1c9aca0e8,cdrug_58450c4db13a14e1,HNSC,18,Tier 3,0.6266364872791387,,,KEEP,KEEP,,,,HNSC_final_admet.csv,18
cand_cf77183333a650d8,cdrug_d6afb6f031e7fe30,HNSC,19,Tier 3,0.6242450092097065,,,KEEP,KEEP,,,,HNSC_final_admet.csv,19
cand_0b55076af9645264,cdrug_1ac4a2d6c19d68f5,HNSC,20,Tier 3,0.6240101161452054,,,KEEP,KEEP,,,,HNSC_final_admet.csv,20
cand_c3450e28189ae108,cdrug_a54fa6b388237c1c,HNSC,21,Tier 3,0.6219299918335177,,,KEEP,KEEP,,,,HNSC_final_admet.csv,21
cand_1786836d4bfa929d,cdrug_d82e10aee750f670,HNSC,22,Tier 2,0.6208869503234523,타암종 승인/적응증확장 연구축,,KEEP,KEEP,,,,HNSC_final_admet.csv,22
cand_f7cdcc318d4e6802,cdrug_371d0df931c65f11,HNSC,23,Tier 4,0.6204331123811518,화합물/검증추가필요,,KEEP,KEEP,,,,HNSC_final_admet.csv,23
cand_96578dbd8188d679,cdrug_5b0d446d35d3790d,HNSC,24,Tier 3,0.6190900666832192,,,EXCLUDE,EXCLUDE,,,,HNSC_final_admet.csv,24
cand_523ac6901a85a651,cdrug_7d828b8ad8476d1f,HNSC,25,Tier 3,0.6068584254855729,,,EXCLUDE,EXCLUDE,,,,HNSC_final_admet.csv,25
cand_f3e18179d0c09eab,cdrug_6a5a5a0a0c643307,HNSC,26,Tier 3,0.5968872254751129,,,KEEP,KEEP,,,,HNSC_final_admet.csv,26
