Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,max_phase,Source,Tier,Tier_Description,SMILES,assay,task_type,admet_value
7,CHEMBL1916486,,7,-3.970184463231393,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCC(C(=O)O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,pgp_broccatelli,classification,0.5636601945272317
8,CHEMBL1916485,,8,-3.942495116517097,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(N[C@@H]2CCCC[C@@H]2C(=O)O)c2nnc(-c3ccc(OC)nc3)cc21,pgp_broccatelli,classification,0.5535285316098105
9,CHEMBL1916475,,9,-3.9090298911156713,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCC(O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,pgp_broccatelli,classification,0.5185238621952496
10,CHEMBL294291,,10,-3.884576892851337,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,pgp_broccatelli,classification,0.5014583690728406
11,CHEMBL60058,,11,-3.865623419733475,ETA,,model_top20,Tier4,Unnamed or preclinical lead,C/C(=N\O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,pgp_broccatelli,classification,0.494070859300424
12,CHEMBL3775234,,12,-3.817480475219406,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,pgp_broccatelli,classification,0.5502058701605783
13,CHEMBL4128926,,13,-3.780566788046847,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,pgp_broccatelli,classification,0.7123939805890648
14,CHEMBL4759667,,14,-3.7079526547959993,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCS(=N)(=O)CC4)ccc3OCC)nn12,pgp_broccatelli,classification,0.5090732153534857
15,CHEMBL3654363,,15,-3.5940270718218192,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccccn2)cc1Cl,pgp_broccatelli,classification,0.6524959761522099
16,CHEMBL1790180,ENDOTHELIN 3,16,-3.5495597616909342,ETB,0.5,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CSSC[C@@H](N)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H]2CSSC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CCc3ccc(O)cc3)NC(=O)[C@H]([C@H](C)O)NC(=O)[C@@H](Cc3ccccc3)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,pgp_broccatelli,classification,0.6098514070652876
17,CHEMBL1520,VARDENAFIL,17,-3.542204948202788,PDE5,4.0,model_top20,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,pgp_broccatelli,classification,0.547791532200668
18,CHEMBL60367,,18,-3.4871250774640776,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CCC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,pgp_broccatelli,classification,0.6050411028171878
19,CHEMBL410215,,19,-3.475195356893083,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(N4CCC(C(=O)O)CC4)c3cnc21,pgp_broccatelli,classification,0.6267044461824174
20,CHEMBL304460,,20,-3.4690393399670403,ETA,,model_top20,Tier4,Unnamed or preclinical lead,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(S(C)(=O)=O)c1,pgp_broccatelli,classification,0.4055986216985886
21,CHEMBL192,SILDENAFIL,480,0.0074859069927118,PDE5,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,pgp_broccatelli,classification,0.47297568707810095
22,CHEMBL779,TADALAFIL,552,0.1765455660410302,PDE5,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,pgp_broccatelli,classification,0.4843532756279768
23,CHEMBL910,EPOPROSTENOL,1301,1.711070042631723,PDE5,,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCNCC4)ccc3OCC)nc12,pgp_broccatelli,classification,0.4767423180560264
24,CHEMBL494,ILOPROST,1516,2.143594088746656,IP_receptor,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,pgp_broccatelli,classification,0.3325216367742326
25,CHEMBL1111,AMBRISENTAN,1864,2.6240112257321853,ETA,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,pgp_broccatelli,classification,0.3588832707531476
26,CHEMBL2103873,MACITENTAN,1883,2.646130631846652,ETA,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,pgp_broccatelli,classification,0.5492819963844103
27,CHEMBL957,BOSENTAN,2193,3.066477524156905,ETA,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,pgp_broccatelli,classification,0.7770566197824321
28,CHEMBL238804,SELEXIPAG,3014,4.119525752351404,IP_receptor,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,pgp_broccatelli,classification,0.5732961592505671
29,CHEMBL9194,ATRASENTAN,614,0.3825911829465538,ETA,3.0,clinical_or_late_phase,Tier2,Approved or clinical repurposing candidate,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,pgp_broccatelli,classification,0.5552626109480879
30,CHEMBL293830,,21,-3.456692394947719,ETA,,model_rank_fill_after_dedup,Tier4,Unnamed or preclinical lead,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)C2CC2)c1,pgp_broccatelli,classification,0.6230057460995725
1,CHEMBL3885244,,1,-5.027996513166518,ETB,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccccc3)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,bioavailability_ma,classification,0.32961146623600496
2,CHEMBL3774897,,2,-5.020776503991561,ETB,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,bioavailability_ma,classification,0.3133130939275715
3,CHEMBL1094489,,3,-4.899935859795952,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCOCCn1nc(CC)c2nc(N3CCC(CN)CC3)nc(Nc3cc(C)ccn3)c21,bioavailability_ma,classification,0.72114508734197
4,CHEMBL1916483,,4,-4.532604298966646,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCCC(C(=O)O)C2)c2nnc(-c3ccc(OC)nc3)cc21,bioavailability_ma,classification,0.6387369431064049
5,CHEMBL1916488,,5,-4.520093807692293,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(N2CCC(C(=O)O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,bioavailability_ma,classification,0.6728771020634616
6,CHEMBL1098465,,6,-4.478600174065137,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCOCCn1nc(CC)c2nc(NCC3CCNCC3)nc(Nc3cc(C)ccn3)c21,bioavailability_ma,classification,0.6609788806076525
7,CHEMBL1916486,,7,-3.970184463231393,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCC(C(=O)O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,bioavailability_ma,classification,0.6081488546058941
8,CHEMBL1916485,,8,-3.942495116517097,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(N[C@@H]2CCCC[C@@H]2C(=O)O)c2nnc(-c3ccc(OC)nc3)cc21,bioavailability_ma,classification,0.6300720882841041
9,CHEMBL1916475,,9,-3.9090298911156713,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCC(O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,bioavailability_ma,classification,0.6193517430466311
10,CHEMBL294291,,10,-3.884576892851337,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,bioavailability_ma,classification,0.672381134148652
11,CHEMBL60058,,11,-3.865623419733475,ETA,,model_top20,Tier4,Unnamed or preclinical lead,C/C(=N\O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,bioavailability_ma,classification,0.5781601325429849
12,CHEMBL3775234,,12,-3.817480475219406,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,bioavailability_ma,classification,0.31588825275288096
13,CHEMBL4128926,,13,-3.780566788046847,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,bioavailability_ma,classification,0.4650654252238619
14,CHEMBL4759667,,14,-3.7079526547959993,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCS(=N)(=O)CC4)ccc3OCC)nn12,bioavailability_ma,classification,0.7159000948648773
15,CHEMBL3654363,,15,-3.5940270718218192,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccccn2)cc1Cl,bioavailability_ma,classification,0.797378089670274
16,CHEMBL1790180,ENDOTHELIN 3,16,-3.5495597616909342,ETB,0.5,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CSSC[C@@H](N)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H]2CSSC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CCc3ccc(O)cc3)NC(=O)[C@H]([C@H](C)O)NC(=O)[C@@H](Cc3ccccc3)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,bioavailability_ma,classification,0.4092039225494281
17,CHEMBL1520,VARDENAFIL,17,-3.542204948202788,PDE5,4.0,model_top20,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,bioavailability_ma,classification,0.7255263647037381
18,CHEMBL60367,,18,-3.4871250774640776,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CCC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,bioavailability_ma,classification,0.6486149354210813
19,CHEMBL410215,,19,-3.475195356893083,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(N4CCC(C(=O)O)CC4)c3cnc21,bioavailability_ma,classification,0.6759517063445676
20,CHEMBL304460,,20,-3.4690393399670403,ETA,,model_top20,Tier4,Unnamed or preclinical lead,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(S(C)(=O)=O)c1,bioavailability_ma,classification,0.6341189352468516
21,CHEMBL192,SILDENAFIL,480,0.0074859069927118,PDE5,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,bioavailability_ma,classification,0.7858334198829394
22,CHEMBL779,TADALAFIL,552,0.1765455660410302,PDE5,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,bioavailability_ma,classification,0.6873432957423914
23,CHEMBL910,EPOPROSTENOL,1301,1.711070042631723,PDE5,,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCNCC4)ccc3OCC)nc12,bioavailability_ma,classification,0.7764030298070425
24,CHEMBL494,ILOPROST,1516,2.143594088746656,IP_receptor,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,bioavailability_ma,classification,0.23487387126377055
25,CHEMBL1111,AMBRISENTAN,1864,2.6240112257321853,ETA,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,bioavailability_ma,classification,0.8575538597550322
26,CHEMBL2103873,MACITENTAN,1883,2.646130631846652,ETA,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,bioavailability_ma,classification,0.5826031639551223
27,CHEMBL957,BOSENTAN,2193,3.066477524156905,ETA,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,bioavailability_ma,classification,0.7826519347404909
28,CHEMBL238804,SELEXIPAG,3014,4.119525752351404,IP_receptor,4.0,clinical_pah,Tier1,PAH approved/reference drug or approved same-pathway drug,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,bioavailability_ma,classification,0.6568086721350432
29,CHEMBL9194,ATRASENTAN,614,0.3825911829465538,ETA,3.0,clinical_or_late_phase,Tier2,Approved or clinical repurposing candidate,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,bioavailability_ma,classification,0.608449446415117
30,CHEMBL293830,,21,-3.456692394947719,ETA,,model_rank_fill_after_dedup,Tier4,Unnamed or preclinical lead,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C(=O)C2CC2)c1,bioavailability_ma,classification,0.6050891726218405
1,CHEMBL3885244,,1,-5.027996513166518,ETB,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccccc3)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,lipophilicity_astrazeneca,regression,0.07509406084656081
2,CHEMBL3774897,,2,-5.020776503991561,ETB,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,lipophilicity_astrazeneca,regression,0.05237757936507935
3,CHEMBL1094489,,3,-4.899935859795952,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCOCCn1nc(CC)c2nc(N3CCC(CN)CC3)nc(Nc3cc(C)ccn3)c21,lipophilicity_astrazeneca,regression,2.3385960846560843
4,CHEMBL1916483,,4,-4.532604298966646,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCCC(C(=O)O)C2)c2nnc(-c3ccc(OC)nc3)cc21,lipophilicity_astrazeneca,regression,1.3417817676767685
5,CHEMBL1916488,,5,-4.520093807692293,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(N2CCC(C(=O)O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,lipophilicity_astrazeneca,regression,2.1642595767195782
6,CHEMBL1098465,,6,-4.478600174065137,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCOCCn1nc(CC)c2nc(NCC3CCNCC3)nc(Nc3cc(C)ccn3)c21,lipophilicity_astrazeneca,regression,2.284890090187591
7,CHEMBL1916486,,7,-3.970184463231393,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCC(C(=O)O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,lipophilicity_astrazeneca,regression,1.3452620057720068
8,CHEMBL1916485,,8,-3.942495116517097,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(N[C@@H]2CCCC[C@@H]2C(=O)O)c2nnc(-c3ccc(OC)nc3)cc21,lipophilicity_astrazeneca,regression,1.34438787878788
9,CHEMBL1916475,,9,-3.9090298911156713,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCC(O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,lipophilicity_astrazeneca,regression,2.2034783862433853
10,CHEMBL294291,,10,-3.884576892851337,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,lipophilicity_astrazeneca,regression,2.330923902116403
11,CHEMBL60058,,11,-3.865623419733475,ETA,,model_top20,Tier4,Unnamed or preclinical lead,C/C(=N\O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,lipophilicity_astrazeneca,regression,2.321913888888891
12,CHEMBL3775234,,12,-3.817480475219406,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,lipophilicity_astrazeneca,regression,0.07343019841269831
13,CHEMBL4128926,,13,-3.780566788046847,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,lipophilicity_astrazeneca,regression,2.1459655820105823
14,CHEMBL4759667,,14,-3.7079526547959993,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCS(=N)(=O)CC4)ccc3OCC)nn12,lipophilicity_astrazeneca,regression,1.9418993121693116
15,CHEMBL3654363,,15,-3.5940270718218192,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccccn2)cc1Cl,lipophilicity_astrazeneca,regression,3.0501605820105833
16,CHEMBL1790180,ENDOTHELIN 3,16,-3.5495597616909342,ETB,0.5,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CSSC[C@@H](N)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H]2CSSC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CCc3ccc(O)cc3)NC(=O)[C@H]([C@H](C)O)NC(=O)[C@@H](Cc3ccccc3)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,lipophilicity_astrazeneca,regression,0.044287394179894184
17,CHEMBL1520,VARDENAFIL,17,-3.542204948202788,PDE5,4.0,model_top20,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,lipophilicity_astrazeneca,regression,1.8660755291005295
18,CHEMBL60367,,18,-3.4871250774640776,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CCC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,lipophilicity_astrazeneca,regression,2.34787650793651
19,CHEMBL410215,,19,-3.475195356893083,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(N4CCC(C(=O)O)CC4)c3cnc21,lipophilicity_astrazeneca,regression,1.3081083730158736
