Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,max_phase,Source,Tier,Tier_Description,SMILES,ames,bbb_martins,bioavailability_ma,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,half_life_obach,herg,hia_hou,ld50_zhu,lipophilicity_astrazeneca,pgp_broccatelli,ppbr_az,solubility_aqsoldb,vdss_lombardo,valid_smiles,qed,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,pains,pre_admet_excluded,pre_admet_exclusion_reason,ADMET_Status,Hard_Fail,Hard_Fail_Reason,Soft_Flags,Clinical_Context
11,CHEMBL60058,,11,-3.865623419733475,ETA,,model_top20,Tier4,Unnamed or preclinical lead,C/C(=N\O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,0.3794576095402292,0.47347067756820765,0.5781601325429849,-5.28977040600992,48.25992513227514,54.56997939153439,0.36284772044657637,0.6591266615297622,0.1735202160105741,0.2510340166984426,0.46857493748731693,0.6049848081499976,0.782494647198893,30.43044615079365,0.567789827240371,0.4760839990421128,2.6750622764550256,2.321913888888891,0.494070859300424,94.60125244829243,-5.601716777338217,6.316327857142857,True,0.26751100283897156,482.9710000000001,4.566060000000003,133.89000000000001,3,8,6,0,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.782); CYP3A4_inhibition_prob>0.5 (0.605); Low_Caco2_logPapp<-5.15 (-5.29); High_microsome_clearance>50 (54.6); Tier4_prefilter:qed_below_0.5,False
12,CHEMBL3775234,,12,-3.817480475219406,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,0.3073715297172386,0.2700590614914894,0.31588825275288096,-6.66520854214924,53.22299809523807,68.01862992063494,0.3505968919874168,0.24524328270597506,0.2799896274398911,0.23381836096335826,0.6136975514167221,0.36509670424680246,0.47139080122262317,64.81095515873012,0.6564679846190716,0.3354243584498851,3.261792867724868,0.07343019841269831,0.5502058701605783,57.5797778968254,-2.1534515884106438,4.455187989417991,True,0.012849976917261845,2491.9489999999955,-4.721299999999955,908.6300000000002,32,36,47,3,False,True,qed_below_0.5,Hard_Fail,True,Lipinski_Ro5_violations=3,Low_Caco2_logPapp<-5.15 (-6.67); High_hepatocyte_clearance>50 (53.2); High_microsome_clearance>50 (68.0); Tier4_prefilter:qed_below_0.5,False
13,CHEMBL4128926,,13,-3.780566788046847,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,0.4189412359401251,0.45872166266671427,0.4650654252238619,-5.375774029258336,42.782039033189015,46.98432587301589,0.3601235729869777,0.48257897038869707,0.19140232246100594,0.36304344720476095,0.6438877368783625,0.6190546733139498,0.6839067099026718,57.723562261904775,0.7173842102537352,0.4375683287332762,3.1939264616402103,2.1459655820105823,0.7123939805890648,93.62847801587301,-4.544323174673559,4.603570952380954,True,0.3098325401392643,583.7760000000004,5.755900000000005,125.46000000000001,3,6,8,2,False,True,qed_below_0.5,Hard_Fail,True,hERG_prob>0.7 (0.717); Lipinski_Ro5_violations=2,DILI_prob>0.5 (0.684); CYP3A4_inhibition_prob>0.5 (0.619); Low_Caco2_logPapp<-5.15 (-5.38); Tier4_prefilter:qed_below_0.5,False
14,CHEMBL4759667,,14,-3.7079526547959993,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCS(=N)(=O)CC4)ccc3OCC)nn12,0.3811429783191825,0.5027215782309932,0.7159000948648773,-5.148094111001588,37.548881727994214,60.56153652116403,0.4020938558129419,0.3906811708870126,0.3164590296308038,0.16251095261571882,0.6087648656694661,0.5054685020417289,0.760769376655742,8.296137195767198,0.6072490677352287,0.7117605276658069,2.6292308134920632,1.9418993121693116,0.5090732153534857,83.75993269360269,-4.462160212725348,2.028400105820106,True,0.49372474398843624,508.6260000000003,1.7952899999999996,150.57999999999996,2,8,7,1,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.761); CYP3A4_inhibition_prob>0.5 (0.505); High_microsome_clearance>50 (60.6); Tier4_prefilter:qed_below_0.5,False
15,CHEMBL3654363,,15,-3.5940270718218192,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(COc2nc(N3CC4CC4C3)ncc2C(=O)NCc2ccccn2)cc1Cl,0.3125025250055734,0.6661023199676375,0.797378089670274,-5.167844469404361,42.69711044973543,60.39247650793649,0.3952312693589512,0.7222138933468497,0.27340500377370236,0.3087772667832139,0.6294650142866125,0.7806055131444678,0.7394152967255484,11.893741957671951,0.790300114124221,0.8717162453807232,2.7633043318903296,3.0501605820105833,0.6524959761522099,90.96131757936506,-3.9434977284180013,7.525418650793652,True,0.5441688125817241,465.94100000000014,3.498700000000002,89.47000000000001,1,7,8,0,False,False,,Hard_Fail,True,hERG_prob>0.7 (0.790),DILI_prob>0.5 (0.739); CYP3A4_inhibition_prob>0.5 (0.781); Low_Caco2_logPapp<-5.15 (-5.17); High_microsome_clearance>50 (60.4),False
16,CHEMBL1790180,ENDOTHELIN 3,16,-3.5495597616909342,ETB,0.5,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CSSC[C@@H](N)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H]2CSSC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CCc3ccc(O)cc3)NC(=O)[C@H]([C@H](C)O)NC(=O)[C@@H](Cc3ccccc3)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,0.304871039936159,0.28404118982906057,0.4092039225494281,-6.64185465424924,47.705677539682526,64.77322087301589,0.33775045415190214,0.2585710139237459,0.26282522296322863,0.2276236366668969,0.6165962036701982,0.36281905425751254,0.45644236705375,134.73885603174608,0.6215185451634495,0.40351884771583385,2.868730161375662,0.044287394179894184,0.6098514070652876,67.24269876984125,-2.335177143395986,1.0358698797498798,True,0.014056991444058146,2657.1189999999942,-2.320099999999959,954.8800000000001,34,37,50,3,False,True,qed_below_0.5,Hard_Fail,True,Lipinski_Ro5_violations=3,Low_Caco2_logPapp<-5.15 (-6.64); High_microsome_clearance>50 (64.8); Tier4_prefilter:qed_below_0.5,False
17,CHEMBL1520,VARDENAFIL,17,-3.542204948202788,PDE5,4.0,model_top20,Tier1,PAH approved/reference drug or approved same-pathway drug,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,0.37927008363986026,0.6519297951792705,0.7255263647037381,-5.158281843933069,31.700711084656067,54.004067870370406,0.43197201933828844,0.46286388287593894,0.40499720318455795,0.2694777181026642,0.6080583633774223,0.5823444051417536,0.7404828268420697,14.146474246031751,0.6974951321592208,0.8213516914400777,3.2185313730158733,1.8660755291005295,0.547791532200668,84.89026434704188,-4.320130780853335,1.8697729232804245,True,0.5164114874787473,488.6140000000004,2.07042,112.9,1,7,8,0,False,False,,Pass_With_Flags,False,,DILI_prob>0.5 (0.740); CYP3A4_inhibition_prob>0.5 (0.582); Low_Caco2_logPapp<-5.15 (-5.16); High_microsome_clearance>50 (54.0),True
18,CHEMBL60367,,18,-3.4871250774640776,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CCC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,0.3611933756367044,0.48695683935372586,0.6486149354210813,-5.120816398379631,38.87694037037036,48.028240105820096,0.3315556789896447,0.726663796241391,0.2051522294584164,0.3094099118939998,0.47571699899634484,0.7413246861815216,0.7581122467692893,27.629492182539664,0.6196252024370328,0.6395289176320075,2.701138481481482,2.34787650793651,0.6050411028171878,97.59926447089946,-4.844630578674198,5.148861693121691,True,0.4308709659551775,496.0100000000002,5.2689800000000035,118.37,2,7,7,1,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.758); CYP3A4_inhibition_prob>0.5 (0.741); PPB>95% (97.6); Tier4_prefilter:qed_below_0.5,False
19,CHEMBL410215,,19,-3.475195356893083,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCn1ncc2c3c(NCc4ccc(OC)c(Cl)c4)nnc(N4CCC(C(=O)O)CC4)c3cnc21,0.42280665187105254,0.51234186506813,0.6759517063445676,-5.48646489007712,52.074554219576726,59.16415465608466,0.26949012046416915,0.5324926245095822,0.253933392084469,0.2901117376482476,0.6369337887221521,0.6936679205412795,0.7508613206679278,18.072005925925918,0.7808350219089593,0.7526348201260069,3.1192448267195747,1.3081083730158736,0.6267044461824174,94.08501640211641,-4.648995729977465,3.3895630291005294,True,0.39217747129694586,495.9710000000003,3.9695000000000027,118.28999999999999,2,8,7,0,False,True,qed_below_0.5,Hard_Fail,True,hERG_prob>0.7 (0.781),DILI_prob>0.5 (0.751); CYP3A4_inhibition_prob>0.5 (0.694); Low_Caco2_logPapp<-5.15 (-5.49); High_hepatocyte_clearance>50 (52.1); High_microsome_clearance>50 (59.2); Tier4_prefilter:qed_below_0.5,False
20,CHEMBL304460,,20,-3.4690393399670403,ETA,,model_top20,Tier4,Unnamed or preclinical lead,Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(S(C)(=O)=O)c1,0.3617634557995646,0.507311772335143,0.6341189352468516,-5.109095653972886,47.13255666666669,48.61314594997593,0.3690361761070995,0.6628178036565914,0.16646804996784867,0.2418804785389767,0.46939688891601267,0.7306227927268226,0.7424834457372861,27.764468253968243,0.6308325181941257,0.5792563718847352,2.6802738187830686,2.2135863492063494,0.4055986216985886,93.03230619648873,-5.330799809936839,4.679231256613754,True,0.5221000139645134,504.0110000000002,3.7713600000000023,135.44,2,8,6,1,False,False,,Pass_With_Flags,False,,DILI_prob>0.5 (0.742); CYP3A4_inhibition_prob>0.5 (0.731),False
