cluster,n_patients,median_OS_months,deceased_fraction,AJCC_PATHOLOGIC_TUMOR_STAGE_mode,PATH_T_STAGE_mode,PATH_N_STAGE_mode,PATH_M_STAGE_mode,GRADE_mode,KRAS_mutation_frequency,TP53_mutation_frequency,CDKN2A_mutation_frequency,SMAD4_mutation_frequency
0,168,15.45188546,0.5119047619047619,STAGE IIB,T3,N1,M0,G2,0.6071428571428571,0.5476190476190477,0.18452380952380953,0.20238095238095238
1,10,14.038202325,0.8,STAGE IIB,T3,N1,MX,G2,0.8,0.8,0.1,0.3
