Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,max_phase,Source,Tier,Tier_Description,SMILES,ames,bbb_martins,bioavailability_ma,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,half_life_obach,herg,hia_hou,ld50_zhu,lipophilicity_astrazeneca,pgp_broccatelli,ppbr_az,solubility_aqsoldb,vdss_lombardo,valid_smiles,qed,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,pains,pre_admet_excluded,pre_admet_exclusion_reason,ADMET_Status,Hard_Fail,Hard_Fail_Reason,Soft_Flags,Clinical_Context
13,CHEMBL6031741,Unnamed JAK1 preclinical compound,13,-4.356020368196619,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C(F)(F)F)n1,0.4764953369063955,0.6049120955347442,0.7894722966669317,-5.0480141225182535,48.67952513227518,65.03994363756613,0.26655024324873583,0.43551483041057226,0.3282916521848169,0.28803577569896466,0.6248324915556034,0.6995278195252453,0.7248351283236844,11.790932936507941,0.70561125100971,0.8484482118407353,2.8096905542328043,2.7307618650793657,0.45940134501974406,88.27349023088024,-4.0598913666981,2.7245016666666646,True,0.6096184928509221,455.4620000000001,3.069000000000001,101.07000000000001,1,7,6,0,False,False,,Hard_Fail,True,hERG_prob>0.7 (0.706),DILI_prob>0.5 (0.725); CYP3A4_inhibition_prob>0.5 (0.700); High_microsome_clearance>50 (65.0),False
21,CHEMBL502835,Nintedanib,8350,-1.13900439821085,PDGFRB,17.828125,clinical_ipf,Tier1,IPF approved/reference drug,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,0.4139039018324894,0.6065658065392108,0.5522200724650265,-5.142591650525658,82.54495720779214,57.86441772486772,0.2792179508868604,0.6706541218145358,0.17855849745475752,0.2783222988737249,0.7463884615854025,0.6639515645911125,0.7219686457974399,16.98385837662338,0.817168163360641,0.7510233892182658,3.094147125661376,2.2841878306878303,0.7421672914248351,89.47984901635404,-4.9410285626161246,5.537116521164021,True,0.34997926244425176,539.6360000000004,3.6159000000000026,94.21999999999997,2,7,7,1,False,False,,Clinical_Context_Hard_Fail,True,hERG_prob>0.7 (0.817),DILI_prob>0.5 (0.722); CYP3A4_inhibition_prob>0.5 (0.664); High_hepatocyte_clearance>50 (82.5); High_microsome_clearance>50 (57.9),True
22,CHEMBL1171837,Ponatinib,887,-3.2458617673888663,PDGFRB,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,0.3872536426868187,0.7378653273246834,0.6400522114730779,-5.2840588890988105,18.079980079365107,54.16122097883595,0.2944620193245899,0.5772223076905441,0.2983800155450344,0.4070804830735811,0.6758909502808185,0.5773731278342777,0.7398502333544887,34.45290158730159,0.8439886533805111,0.8333861469155168,3.032413466931217,2.509713412698412,0.7702515233718321,93.63842056878306,-4.881037129169854,5.811073359788359,True,0.3935993292770261,532.5700000000002,4.456020000000003,65.77000000000001,1,5,4,1,False,False,,Clinical_Context_Hard_Fail,True,hERG_prob>0.7 (0.844),DILI_prob>0.5 (0.740); CYP3A4_inhibition_prob>0.5 (0.577); Low_Caco2_logPapp<-5.15 (-5.28); High_BBB_prob>0.7 (0.738); High_microsome_clearance>50 (54.2),True
27,CHEMBL535,Sunitinib,13857,-0.1375403344708105,PDGFRB,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0.43015776255405797,0.6820244471786246,0.8382444016043026,-5.112944818908866,41.50765494708998,49.17996222222223,0.24243364393124972,0.43526055414704945,0.32507567076957233,0.3103581528714327,0.6287306403094728,0.5126830580944752,0.639186418927127,33.39536867965366,0.7174790004633791,0.8286856238401433,2.717170761904762,2.299526044973544,0.3367897673537409,87.18923343915353,-4.010060273514205,2.91698664021164,True,0.6263032743124629,398.48200000000014,3.3349400000000013,77.23,3,3,7,0,False,False,,Clinical_Context_Hard_Fail,True,hERG_prob>0.7 (0.717),DILI_prob>0.5 (0.639); CYP3A4_inhibition_prob>0.5 (0.513),True
30,CHEMBL1784637,PDGFRA lead compound,950,-3.20412907579738,PDGFRA,,preclinical_lead,Tier4,Unnamed or preclinical lead,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,0.3762728908225413,0.6725330510585106,0.6218051461119907,-5.289879902791292,31.18607329365079,50.22649985449734,0.26170632442498926,0.4697831505579354,0.29250973015790765,0.36763251737152486,0.6342020654431776,0.533330247486239,0.7130450341239442,39.421220079365064,0.792084018182627,0.7627934630828967,3.0509613095238115,1.2954548809523803,0.6226583704994202,86.56574309523813,-3.8365130546516375,3.594951097883596,True,0.37067279448638013,582.6270000000003,2.868920000000001,102.72999999999999,3,6,7,1,False,True,qed_below_0.5,Hard_Fail,True,hERG_prob>0.7 (0.792),DILI_prob>0.5 (0.713); CYP3A4_inhibition_prob>0.5 (0.533); Low_Caco2_logPapp<-5.15 (-5.29); High_microsome_clearance>50 (50.2); Tier4_prefilter:qed_below_0.5,False
