Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,max_phase,Source,Tier,Tier_Description,SMILES,assay,task_type,predicted_value,admet_value,probability_positive
19,CHEMBL5890561,Unnamed JAK1 preclinical compound,19,-4.331007231883612,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cn1ncc2ccc(S(=O)(=O)C[C@H]3C[C@@H](N(C)c4ncnc5[nH]ccc45)C3)cc21,pgp_broccatelli,classification,,0.47492049018205346,0.47492049018205346
20,CHEMBL3652410,Unnamed JAK1 preclinical compound,20,-4.316552930478186,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@@H](OP(=O)(O)O)C2)CC1,pgp_broccatelli,classification,,0.3019098597055192,0.3019098597055192
21,CHEMBL502835,Nintedanib,8350,-1.13900439821085,PDGFRB,17.828125,clinical_ipf,Tier1,IPF approved/reference drug,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,pgp_broccatelli,classification,,0.7421672914248351,0.7421672914248351
22,CHEMBL1171837,Ponatinib,887,-3.2458617673888663,PDGFRB,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,pgp_broccatelli,classification,,0.7702515233718321,0.7702515233718321
23,CHEMBL495727,AT-9283,835,-3.279430904509071,FGFR2,,clinical_repur,Tier2,Approved or clinical repurposing candidate,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,pgp_broccatelli,classification,,0.4711673799269199,0.4711673799269199
24,CHEMBL1789941,Ruxolitinib,2001,-2.739619827189386,JAK1,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,pgp_broccatelli,classification,,0.34463529615187644,0.34463529615187644
25,CHEMBL221959,Tofacitinib,2885,-2.464100708535658,JAK1,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,pgp_broccatelli,classification,,0.1860182876479182,0.1860182876479182
26,CHEMBL477772,Pazopanib,12419,-0.3689907468086709,KDR,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,pgp_broccatelli,classification,,0.4854699067189811,0.4854699067189811
27,CHEMBL535,Sunitinib,13857,-0.1375403344708105,PDGFRB,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,pgp_broccatelli,classification,,0.3367897673537409,0.3367897673537409
28,CHEMBL1336,Sorafenib,14031,-0.1196366092660834,KDR,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,pgp_broccatelli,classification,,0.4976939971255092,0.4976939971255092
29,CHEMBL5769608,TGFBR1 lead compound,1015,-3.157977318757388,TGFBR1,,preclinical_lead,Tier4,Unnamed or preclinical lead,CC(=O)Nc1cc(Nc2nc(-c3ccccn3)nn3ccc(CN4CCOCC4)c23)ccn1,pgp_broccatelli,classification,,0.6066114472524524,0.6066114472524524
30,CHEMBL1784637,PDGFRA lead compound,950,-3.20412907579738,PDGFRA,,preclinical_lead,Tier4,Unnamed or preclinical lead,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,pgp_broccatelli,classification,,0.6226583704994202,0.6226583704994202
1,CHEMBL6059683,Unnamed JAK1 preclinical compound,1,-4.404797301413812,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@@H](C)CS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,bioavailability_ma,classification,,0.8198505518082524,0.8198505518082524
2,CHEMBL5945428,Unnamed JAK1 preclinical compound,2,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccncc2)C1,bioavailability_ma,classification,,0.841194700342162,0.841194700342162
3,CHEMBL6020772,Unnamed JAK1 preclinical compound,3,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccnc2)C1,bioavailability_ma,classification,,0.8241413984019753,0.8241413984019753
4,CHEMBL5956808,Unnamed JAK1 preclinical compound,4,-4.399579280076667,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cn1,bioavailability_ma,classification,,0.785943900006425,0.785943900006425
5,CHEMBL6021211,Unnamed JAK1 preclinical compound,5,-4.387690687283208,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cn1cc2cc(S(=O)(=O)C[C@H]3C[C@@H](N(C)c4ncnc5[nH]ccc45)C3)ccc2n1,bioavailability_ma,classification,,0.7745621844776464,0.7745621844776464
6,CHEMBL5777052,Unnamed JAK1 preclinical compound,6,-4.372804416520248,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cncc(F)c2)C1,bioavailability_ma,classification,,0.8510494839869415,0.8510494839869415
7,CHEMBL3652405,Unnamed JAK1 preclinical compound,7,-4.372175927193261,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)CC1,bioavailability_ma,classification,,0.7822103355422789,0.7822103355422789
8,CHEMBL5885656,Unnamed JAK1 preclinical compound,8,-4.372069936947769,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccc3ncccc23)C1,bioavailability_ma,classification,,0.7836558949085546,0.7836558949085546
9,CHEMBL5883265,Unnamed JAK1 preclinical compound,9,-4.36987363523634,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccccc2Cl)C1,bioavailability_ma,classification,,0.814299809210095,0.814299809210095
10,CHEMBL5784853,Unnamed JAK1 preclinical compound,10,-4.369612369501382,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cc1,bioavailability_ma,classification,,0.8238092884780644,0.8238092884780644
11,CHEMBL5749084,Unnamed JAK1 preclinical compound,11,-4.363156678771032,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cnc3ccoc3c2)C1,bioavailability_ma,classification,,0.7446165827682891,0.7446165827682891
12,CHEMBL6064726,Unnamed JAK1 preclinical compound,12,-4.359809607582895,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1cc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cnc1OC,bioavailability_ma,classification,,0.8534197535207853,0.8534197535207853
13,CHEMBL6031741,Unnamed JAK1 preclinical compound,13,-4.356020368196619,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C(F)(F)F)n1,bioavailability_ma,classification,,0.7894722966669317,0.7894722966669317
14,CHEMBL6017191,Unnamed JAK1 preclinical compound,14,-4.35523455739966,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C)n1,bioavailability_ma,classification,,0.8129430853921084,0.8129430853921084
15,CHEMBL3652403,Unnamed JAK1 preclinical compound,15,-4.344067383277476,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@@H](OC(=O)C(C)(C)C)C2)CC1,bioavailability_ma,classification,,0.7083336413947362,0.7083336413947362
16,CHEMBL5931590,Unnamed JAK1 preclinical compound,16,-4.334092272426654,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cc1ccccc1S(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,bioavailability_ma,classification,,0.8479770316051042,0.8479770316051042
17,CHEMBL6065435,Unnamed JAK1 preclinical compound,17,-4.333881007839489,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C)n1,bioavailability_ma,classification,,0.8188440541653031,0.8188440541653031
18,CHEMBL5950639,Unnamed JAK1 preclinical compound,18,-4.333881007839489,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CCOc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cn1,bioavailability_ma,classification,,0.7749649055819384,0.7749649055819384
19,CHEMBL5890561,Unnamed JAK1 preclinical compound,19,-4.331007231883612,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cn1ncc2ccc(S(=O)(=O)C[C@H]3C[C@@H](N(C)c4ncnc5[nH]ccc45)C3)cc21,bioavailability_ma,classification,,0.7707997864366892,0.7707997864366892
20,CHEMBL3652410,Unnamed JAK1 preclinical compound,20,-4.316552930478186,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@@H](OP(=O)(O)O)C2)CC1,bioavailability_ma,classification,,0.5822554648153666,0.5822554648153666
21,CHEMBL502835,Nintedanib,8350,-1.13900439821085,PDGFRB,17.828125,clinical_ipf,Tier1,IPF approved/reference drug,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,bioavailability_ma,classification,,0.5522200724650265,0.5522200724650265
22,CHEMBL1171837,Ponatinib,887,-3.2458617673888663,PDGFRB,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,bioavailability_ma,classification,,0.6400522114730779,0.6400522114730779
23,CHEMBL495727,AT-9283,835,-3.279430904509071,FGFR2,,clinical_repur,Tier2,Approved or clinical repurposing candidate,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,bioavailability_ma,classification,,0.6544028352647117,0.6544028352647117
24,CHEMBL1789941,Ruxolitinib,2001,-2.739619827189386,JAK1,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,bioavailability_ma,classification,,0.7833534426550407,0.7833534426550407
25,CHEMBL221959,Tofacitinib,2885,-2.464100708535658,JAK1,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,bioavailability_ma,classification,,0.7918090976111071,0.7918090976111071
26,CHEMBL477772,Pazopanib,12419,-0.3689907468086709,KDR,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,bioavailability_ma,classification,,0.7649693202906269,0.7649693202906269
27,CHEMBL535,Sunitinib,13857,-0.1375403344708105,PDGFRB,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,bioavailability_ma,classification,,0.8382444016043026,0.8382444016043026
28,CHEMBL1336,Sorafenib,14031,-0.1196366092660834,KDR,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,bioavailability_ma,classification,,0.6938020932501099,0.6938020932501099
29,CHEMBL5769608,TGFBR1 lead compound,1015,-3.157977318757388,TGFBR1,,preclinical_lead,Tier4,Unnamed or preclinical lead,CC(=O)Nc1cc(Nc2nc(-c3ccccn3)nn3ccc(CN4CCOCC4)c23)ccn1,bioavailability_ma,classification,,0.7576824174373897,0.7576824174373897
30,CHEMBL1784637,PDGFRA lead compound,950,-3.20412907579738,PDGFRA,,preclinical_lead,Tier4,Unnamed or preclinical lead,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,bioavailability_ma,classification,,0.6218051461119907,0.6218051461119907
1,CHEMBL6059683,Unnamed JAK1 preclinical compound,1,-4.404797301413812,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@@H](C)CS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,lipophilicity_astrazeneca,regression,2.027823306878307,2.027823306878307,
2,CHEMBL5945428,Unnamed JAK1 preclinical compound,2,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccncc2)C1,lipophilicity_astrazeneca,regression,1.6803833068783072,1.6803833068783072,
3,CHEMBL6020772,Unnamed JAK1 preclinical compound,3,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccnc2)C1,lipophilicity_astrazeneca,regression,1.722962235449736,1.722962235449736,
4,CHEMBL5956808,Unnamed JAK1 preclinical compound,4,-4.399579280076667,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cn1,lipophilicity_astrazeneca,regression,1.4252787698412697,1.4252787698412697,
5,CHEMBL6021211,Unnamed JAK1 preclinical compound,5,-4.387690687283208,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cn1cc2cc(S(=O)(=O)C[C@H]3C[C@@H](N(C)c4ncnc5[nH]ccc45)C3)ccc2n1,lipophilicity_astrazeneca,regression,2.4519198677248673,2.4519198677248673,
6,CHEMBL5777052,Unnamed JAK1 preclinical compound,6,-4.372804416520248,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cncc(F)c2)C1,lipophilicity_astrazeneca,regression,1.8965196560846547,1.8965196560846547,
7,CHEMBL3652405,Unnamed JAK1 preclinical compound,7,-4.372175927193261,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)CC1,lipophilicity_astrazeneca,regression,1.0717434126984124,1.0717434126984124,
8,CHEMBL5885656,Unnamed JAK1 preclinical compound,8,-4.372069936947769,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccc3ncccc23)C1,lipophilicity_astrazeneca,regression,2.605971309523811,2.605971309523811,
9,CHEMBL5883265,Unnamed JAK1 preclinical compound,9,-4.36987363523634,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccccc2Cl)C1,lipophilicity_astrazeneca,regression,2.716851547619049,2.716851547619049,
10,CHEMBL5784853,Unnamed JAK1 preclinical compound,10,-4.369612369501382,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cc1,lipophilicity_astrazeneca,regression,2.404939325396825,2.404939325396825,
11,CHEMBL5749084,Unnamed JAK1 preclinical compound,11,-4.363156678771032,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cnc3ccoc3c2)C1,lipophilicity_astrazeneca,regression,2.586089933862435,2.586089933862435,
12,CHEMBL6064726,Unnamed JAK1 preclinical compound,12,-4.359809607582895,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1cc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cnc1OC,lipophilicity_astrazeneca,regression,1.84267357142857,1.84267357142857,
13,CHEMBL6031741,Unnamed JAK1 preclinical compound,13,-4.356020368196619,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C(F)(F)F)n1,lipophilicity_astrazeneca,regression,2.7307618650793657,2.7307618650793657,
14,CHEMBL6017191,Unnamed JAK1 preclinical compound,14,-4.35523455739966,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C)n1,lipophilicity_astrazeneca,regression,2.1365482936507934,2.1365482936507934,
15,CHEMBL3652403,Unnamed JAK1 preclinical compound,15,-4.344067383277476,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@@H](OC(=O)C(C)(C)C)C2)CC1,lipophilicity_astrazeneca,regression,2.446721534391536,2.446721534391536,
16,CHEMBL5931590,Unnamed JAK1 preclinical compound,16,-4.334092272426654,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cc1ccccc1S(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,lipophilicity_astrazeneca,regression,2.3806025396825405,2.3806025396825405,
17,CHEMBL6065435,Unnamed JAK1 preclinical compound,17,-4.333881007839489,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C)n1,lipophilicity_astrazeneca,regression,1.9704361243386233,1.9704361243386233,
18,CHEMBL5950639,Unnamed JAK1 preclinical compound,18,-4.333881007839489,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CCOc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cn1,lipophilicity_astrazeneca,regression,2.098652222222222,2.098652222222222,
19,CHEMBL5890561,Unnamed JAK1 preclinical compound,19,-4.331007231883612,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cn1ncc2ccc(S(=O)(=O)C[C@H]3C[C@@H](N(C)c4ncnc5[nH]ccc45)C3)cc21,lipophilicity_astrazeneca,regression,2.5192991137566128,2.5192991137566128,
20,CHEMBL3652410,Unnamed JAK1 preclinical compound,20,-4.316552930478186,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@@H](OP(=O)(O)O)C2)CC1,lipophilicity_astrazeneca,regression,1.4465615476190485,1.4465615476190485,
21,CHEMBL502835,Nintedanib,8350,-1.13900439821085,PDGFRB,17.828125,clinical_ipf,Tier1,IPF approved/reference drug,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,lipophilicity_astrazeneca,regression,2.2841878306878303,2.2841878306878303,
22,CHEMBL1171837,Ponatinib,887,-3.2458617673888663,PDGFRB,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,lipophilicity_astrazeneca,regression,2.509713412698412,2.509713412698412,
23,CHEMBL495727,AT-9283,835,-3.279430904509071,FGFR2,,clinical_repur,Tier2,Approved or clinical repurposing candidate,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,lipophilicity_astrazeneca,regression,2.207057341269842,2.207057341269842,
24,CHEMBL1789941,Ruxolitinib,2001,-2.739619827189386,JAK1,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,lipophilicity_astrazeneca,regression,2.5529164682539687,2.5529164682539687,
25,CHEMBL221959,Tofacitinib,2885,-2.464100708535658,JAK1,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,lipophilicity_astrazeneca,regression,0.7891503066378068,0.7891503066378068,
26,CHEMBL477772,Pazopanib,12419,-0.3689907468086709,KDR,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,lipophilicity_astrazeneca,regression,2.6454189682539666,2.6454189682539666,
27,CHEMBL535,Sunitinib,13857,-0.1375403344708105,PDGFRB,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,lipophilicity_astrazeneca,regression,2.299526044973544,2.299526044973544,
28,CHEMBL1336,Sorafenib,14031,-0.1196366092660834,KDR,17.828125,clinical_repur,Tier2,Approved or clinical repurposing candidate,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,lipophilicity_astrazeneca,regression,3.1356202910052917,3.1356202910052917,
29,CHEMBL5769608,TGFBR1 lead compound,1015,-3.157977318757388,TGFBR1,,preclinical_lead,Tier4,Unnamed or preclinical lead,CC(=O)Nc1cc(Nc2nc(-c3ccccn3)nn3ccc(CN4CCOCC4)c23)ccn1,lipophilicity_astrazeneca,regression,2.608138796296298,2.608138796296298,
30,CHEMBL1784637,PDGFRA lead compound,950,-3.20412907579738,PDGFRA,,preclinical_lead,Tier4,Unnamed or preclinical lead,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,lipophilicity_astrazeneca,regression,1.2954548809523803,1.2954548809523803,
1,CHEMBL6059683,Unnamed JAK1 preclinical compound,1,-4.404797301413812,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@@H](C)CS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,solubility_aqsoldb,regression,-3.386365511075203,-3.386365511075203,
2,CHEMBL5945428,Unnamed JAK1 preclinical compound,2,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccncc2)C1,solubility_aqsoldb,regression,-2.912005335157325,-2.912005335157325,
3,CHEMBL6020772,Unnamed JAK1 preclinical compound,3,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccnc2)C1,solubility_aqsoldb,regression,-2.960536256696187,-2.960536256696187,
4,CHEMBL5956808,Unnamed JAK1 preclinical compound,4,-4.399579280076667,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cn1,solubility_aqsoldb,regression,-2.844856565594349,-2.844856565594349,
5,CHEMBL6021211,Unnamed JAK1 preclinical compound,5,-4.387690687283208,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cn1cc2cc(S(=O)(=O)C[C@H]3C[C@@H](N(C)c4ncnc5[nH]ccc45)C3)ccc2n1,solubility_aqsoldb,regression,-3.6393704788918475,-3.6393704788918475,
6,CHEMBL5777052,Unnamed JAK1 preclinical compound,6,-4.372804416520248,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cncc(F)c2)C1,solubility_aqsoldb,regression,-2.977114662171996,-2.977114662171996,
7,CHEMBL3652405,Unnamed JAK1 preclinical compound,7,-4.372175927193261,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)CC1,solubility_aqsoldb,regression,-2.427231712222361,-2.427231712222361,
8,CHEMBL5885656,Unnamed JAK1 preclinical compound,8,-4.372069936947769,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccc3ncccc23)C1,solubility_aqsoldb,regression,-4.139185077858327,-4.139185077858327,
9,CHEMBL5883265,Unnamed JAK1 preclinical compound,9,-4.36987363523634,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccccc2Cl)C1,solubility_aqsoldb,regression,-4.142924168612809,-4.142924168612809,
10,CHEMBL5784853,Unnamed JAK1 preclinical compound,10,-4.369612369501382,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cc1,solubility_aqsoldb,regression,-3.481246159673526,-3.481246159673526,
11,CHEMBL5749084,Unnamed JAK1 preclinical compound,11,-4.363156678771032,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cnc3ccoc3c2)C1,solubility_aqsoldb,regression,-3.686172766007885,-3.686172766007885,
12,CHEMBL6064726,Unnamed JAK1 preclinical compound,12,-4.359809607582895,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1cc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cnc1OC,solubility_aqsoldb,regression,-3.267930973135592,-3.267930973135592,
13,CHEMBL6031741,Unnamed JAK1 preclinical compound,13,-4.356020368196619,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C(F)(F)F)n1,solubility_aqsoldb,regression,-4.0598913666981,-4.0598913666981,
14,CHEMBL6017191,Unnamed JAK1 preclinical compound,14,-4.35523455739966,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C)n1,solubility_aqsoldb,regression,-3.251861918916979,-3.251861918916979,
