canonical_drug_id,DRUG_NAME,nct_id,ct_drug_name,ct_status,match_type
1819,Docetaxel,NCT00661778,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02358473,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00288054,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT01350817,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01755923,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT03706703,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT01351415,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00113386,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT01131429,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT04928846,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00863512,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT03799601,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT03693612,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00319514,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02998528,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03976375,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03449901,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00014196,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT04427072,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02785939,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00263016,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT05910034,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT06868732,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT01083589,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05106335,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00431613,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT07242274,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02154490,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT07330050,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00637910,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00391274,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT07291037,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT06463665,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT01660399,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00695994,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00048087,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT03944980,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00005868,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03371550,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00308750,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00260026,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06635824,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00003159,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02780778,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT01774578,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT03574649,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT00932893,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03178552,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00288444,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT03411967,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT02331251,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02179567,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02037997,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT03595059,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00073385,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01630733,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00449020,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06542731,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00026156,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01362296,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06951646,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02157116,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00280735,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01266512,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00193453,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00002901,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00118131,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT06908993,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT04721015,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00471432,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00216125,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06228326,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT01938456,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT00097851,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06120075,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02008227,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03840915,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02922777,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01368848,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00059943,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00617656,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT04025879,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT04340882,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00054184,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00564733,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00065182,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03726736,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT02643407,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT02395172,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02450539,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00620971,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01933932,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT06421298,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00254384,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00736814,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT05132075,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT04310007,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT03095612,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT05020457,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT07246863,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00499109,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02664935,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00042835,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT04267913,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT06382129,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02036359,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT05834348,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT04880863,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00354562,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT03370159,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT00003562,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT01348126,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT05450692,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00114192,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00077311,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03402048,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT03624309,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT04921358,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00712504,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00406276,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00386555,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT00937417,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT00301808,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT04685135,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT01798485,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02831491,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT00379717,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT01209520,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05904379,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00003762,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03041181,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT05664971,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03654027,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT02225405,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01562301,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT04863248,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02088515,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00520845,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT01812018,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00047840,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05084859,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02864394,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05639751,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02346370,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT04396535,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00293085,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00238615,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT05553808,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02326285,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT04447118,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00714246,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT06319313,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00310154,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01577654,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05094804,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00446225,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT07070440,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT05616624,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00191490,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03566576,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT00075374,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01204697,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05001724,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02531737,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00073866,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00327288,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00132379,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00051571,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT02257619,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT04165031,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00193245,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01824901,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00041171,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT00536107,docetaxel,TERMINATED,exact_name_or_synonym
