canonical_drug_id,DRUG_NAME,cosmic_drug_field,cosmic_drug_value,GENOMIC_MUTATION_ID,TRIAL_ID
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Nivolumab",,NCT05027204
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Carboplatin or Cisplatin,Docetaxel",,NCT05063552
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pembrolizumab",,NCT02437370
1819,Docetaxel,DRUG_COMBINATION,"Camrelizumab,Carboplatin,Docetaxel",,NCT05475678
1819,Docetaxel,DRUG_COMBINATION,"CD105/CDH3/MDM2/SOX2/Yb-1-polyepitope plasmid DNA vaccine,Carboplatin,Cisplatin,Docetaxel,Doxorubicin hydrochloride,Eribulin,Paclitaxel,Sargramostim",,NCT07078604
1819,Docetaxel,DRUG_COMBINATION,"Atezolizumab,Carboplatin,Cyclophosphamide,Docetaxel or Paclitaxel,Epirubicin,Pertuzumab,Trastuzumab",,NCT03894007
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Oxaliplatin,Tegafur-gimeracil-oteracil potassium,Tislelizumab,Trastuzumab",,NCT04819971
1819,Docetaxel,DRUG_COMBINATION,"Anlotinib,Cadonilimab,Docetaxel",,NCT05816499
1819,Docetaxel,DRUG_COMBINATION,"Apatinib,Docetaxel,Gemcitabine",,NCT03742193
1819,Docetaxel,DRUG_COMBINATION,Docetaxel,,
1819,Docetaxel,DRUG_COMBINATION,"Anti-HER2 CAR T-cells FT825,Bendamustine,Cetuximab,Cisplatin,Cyclophosphamide,Docetaxel,Fludarabine",,NCT06241456
1819,Docetaxel,DRUG_COMBINATION,"Afatinib,Docetaxel",,NCT02171741
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Ramucirumab",,NCT01168973
1819,Docetaxel,DRUG_COMBINATION,"Anti-EGFR/CD3 bispecific antibody SMET12,Docetaxel,Toripalimab",,NCT06208033
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pimurutamab",,NCT05215925
1819,Docetaxel,DRUG_COMBINATION,"Anlotinib,Docetaxel",,NCT04619563
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Vandetanib",,NCT00687297
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Vandetanib",,NCT00312377
1819,Docetaxel,DRUG_COMBINATION,"Afatinib,Docetaxel",,NCT02171676
1819,Docetaxel,DRUG_COMBINATION,Sudocetaxel zendusortide,,NCT04706962
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Cyclophosphamide,Docetaxel",,NCT00911716
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Cisplatin,Docetaxel,Doxorubicin hydrochloride,Doxorubicin hydrochloride liposome,Eribulin,Paclitaxel,Sargramostim",,NCT07078604
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pembrolizumab",,NCT05929768
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin",,NCT00129935
1819,Docetaxel,DRUG_COMBINATION,"Anti-HER2 CAR T-cells FT825,Bendamustine,Cisplatin,Cyclophosphamide,Docetaxel,Fludarabine",,NCT06241456
1819,Docetaxel,DRUG_COMBINATION,"Anti-ERBB2/ERBB3 bispecific monoclonal antibody MM-111,Docetaxel,Trastuzumab",,NCT01304784
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Trastuzumab",,
