eval_mode,feature_set,spearman,spearman_p,rmse,mae,r2,n_train,n_test,n_features,n_image_features,n_patients,n_holdout_rows
holdout,baseline,0.24711083897377256,8.288285545821733e-07,2.4301294249929977,1.9066075086593628,0.0714079737663269,1551,388,3,0,225,1939
holdout,baseline_plus_image,0.24711083897377256,8.288285545821733e-07,2.4301294249929977,1.9066075086593628,0.0714079737663269,1551,388,1539,1536,225,1939
cv5,baseline,0.22722673064241639,3.980741461231133e-24,2.6339607601232453,2.032518818716316,0.05125077472777417,1939,1939,3,0,225,1939
cv5,baseline_plus_image,0.22722673064241639,3.980741461231133e-24,2.6339607601232453,2.032518818716316,0.05125077472777417,1939,1939,1539,1536,225,1939
groupcv,baseline,0.22857861201522603,2.1089052739264445e-24,2.6426996009086947,2.0312959495455556,0.04494489328986628,1939,1939,3,0,225,1939
groupcv,baseline_plus_image,0.22857861201522603,2.1089052739264445e-24,2.6426996009086947,2.0312959495455556,0.04494489328986628,1939,1939,1539,1536,225,1939
scaffoldcv,baseline,0.22857861201522603,2.1089052739264445e-24,2.6426996009086947,2.0312959495455556,0.04494489328986628,1939,1939,3,0,225,1939
scaffoldcv,baseline_plus_image,0.22857861201522603,2.1089052739264445e-24,2.6426996009086947,2.0312959495455556,0.04494489328986628,1939,1939,1539,1536,225,1939
