canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank
CHEMBL1789941,-10.19425106048584,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1
CHEMBL1873475,-9.410477638244629,IBRUTINIB,-9.433483923290392,0.08,1,4.0,2
CHEMBL4297674,-9.294074058532715,BRANEBRUTINIB,-9.315700887634009,0.09,1,2.0,3
CHEMBL4594420,-9.179739952087402,LUXEPTINIB,-9.210340371976182,0.1,1,1.0,4
CHEMBL388978,-9.052626609802246,STAUROSPORINE,-9.070578429601024,0.115,3,0.0,5
CHEMBL1231124,-8.49903678894043,AZD-1480,-8.517193191416238,0.2,2,2.0,6
CHEMBL4303389,-8.188163757324219,NS-018,-8.2170885989659,0.27,2,2.0,7
CHEMBL3936761,-8.096084594726562,ZANUBRUTINIB,-8.111728083308073,0.3,1,4.0,8
CHEMBL4756476,-7.829919815063477,NEMTABRUTINIB,-7.849363818840582,0.39,1,3.0,9
CHEMBL4209441,-7.826136112213135,SOFNOBRUTINIB,-7.849363818840582,0.39,1,2.0,10
CHEMBL4297865,-7.8125081062316895,ABIVERTINIB,-7.826549141074411,0.399,3,3.0,11
CHEMBL3900554,-7.790939807891846,BMS-986142,-7.799353398265921,0.41,2,2.0,12
CHEMBL4066193,-7.786169052124023,ATINVICITINIB,-7.824046010856292,0.4,1,2.0,13
CHEMBL5077961,-7.669615745544434,MILREBRUTINIB,-7.6842840684811335,0.46,1,2.0,14
CHEMBL221959,-7.595214366912842,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15
CHEMBL3301625,-7.584342956542969,SPEBRUTINIB,-7.600902459542082,0.5,2,2.0,16
CHEMBL4447181,-7.4909210205078125,LONDAMOCITINIB,-7.523941418405954,0.54,2,2.0,17
CHEMBL3989927,-7.394769191741943,IBERDOMIDE,-7.435388021064509,0.59,1,3.0,18
CHEMBL4650323,-7.247522830963135,TOLEBRUTINIB,-7.264430222920869,0.7,1,3.0,19
CHEMBL2105759,-7.238471508026123,BARICITINIB,-7.264430222920869,0.7,2,4.0,20
CHEMBL1287853,-7.191240310668945,FEDRATINIB,-7.195437351433918,0.75,2,4.0,21
CHEMBL3622821,-7.100825786590576,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22
CHEMBL603469,-6.996827125549316,LESTAURTINIB,-7.013115794639964,0.9,2,3.0,23
CHEMBL4483575,-6.90291690826416,REMIBRUTINIB,-6.907755278982137,1.0,1,3.0,24
CHEMBL4163691,-6.900117874145508,POSELTINIB,-6.907755278982137,1.0,1,2.0,25
CHEMBL2035187,-6.893539905548096,PACRITINIB,-6.907755278982137,1.0,2,4.0,26
CHEMBL3786343,-6.886878967285156,OLMUTINIB,-6.907755278982137,1.0,1,4.0,27
CHEMBL495727,-6.8774542808532715,AT-9283,-6.907755278982137,1.0,2,2.0,28
CHEMBL191003,-6.866637229919434,JNJ-7706621,-6.907755278982137,1.0,1,0.0,29
CHEMBL4298138,-6.855757713317871,REPOTRECTINIB,-6.868534565828855,1.04,1,4.0,30
CHEMBL4297640,-6.797743797302246,VECABRUTINIB,-6.812445099177812,1.1,1,2.0,31
CHEMBL3545215,-6.779575824737549,BMS-911543,-6.812445099177812,1.1,2,2.0,32
CHEMBL4065122,-6.71457052230835,FENEBRUTINIB,-6.725433722188183,1.2,1,3.0,33
CHEMBL5416410,-6.646705150604248,DASATINIB,-6.645391014514646,1.3,1,4.0,34
CHEMBL3702854,-6.634056568145752,RILZABRUTINIB,-6.645391014514646,1.3,1,3.0,35
CHEMBL4650321,-6.4447102546691895,ORELABRUTINIB,-6.437751649736401,1.6,1,3.0,36
CHEMBL1078178,-6.42608118057251,MOMELOTINIB,-6.437751649736401,1.6,2,4.0,37
CHEMBL4114766,-6.327264785766602,ATUZABRUTINIB,-6.319968614080018,1.8,1,2.0,38
CHEMBL4072833,-6.287572860717773,EVOBRUTINIB,-6.303439312128807,1.83,1,3.0,39
CHEMBL5095398,-6.213368892669678,IVARMACITINIB,-6.214608098422191,2.0,2,3.0,40
CHEMBL3622820,-6.2071452140808105,ITACITINIB,-6.214608098422191,2.0,2,3.0,41
CHEMBL4582651,-6.190236568450928,PRALSETINIB,-6.214608098422191,2.0,1,4.0,42
CHEMBL4594441,-6.137223720550537,IFIDANCITINIB,-6.165817934252759,2.1,1,2.0,43
CHEMBL288441,-5.966819763183594,BOSUTINIB,-5.991464547107982,2.5,1,4.0,44
CHEMBL4297507,-5.954290866851807,DELGOCITINIB,-5.952243833954701,2.6,2,3.0,45
CHEMBL1795071,-5.895807266235352,RUXOLITINIB PHOSPHATE,-5.8781358618009785,2.8,2,4.0,46
CHEMBL3707348,-5.813114166259766,ACALABRUTINIB,-5.809142990314028,3.0,1,4.0,47
CHEMBL2107823,-5.810354709625244,GANDOTINIB,-5.809142990314028,3.0,2,2.0,48
CHEMBL2103743,-5.742392539978027,TOFACITINIB CITRATE,-5.744604469176456,3.2,2,4.0,49
CHEMBL3137308,-5.550708770751953,PEFICITINIB,-5.546778725846536,3.9,2,4.0,50
CHEMBL4594275,-5.501574516296387,GUSACITINIB,-5.521460917862246,4.0,2,2.0,51
CHEMBL3655081,-5.259349822998047,ABROCITINIB,-5.278514739251857,5.1,2,4.0,52
CHEMBL4435170,-5.257222652435303,DEUCRAVACITINIB,-5.298317366548036,5.0,2,4.0,53
CHEMBL4071161,-5.248109340667725,TIRABRUTINIB,-5.259096653394756,5.2,1,4.0,54
CHEMBL5083772,-5.21508264541626,BIIB-091,-5.221356325411908,5.4,1,2.0,55
CHEMBL4116008,-5.1334228515625,CERDULATINIB,-5.115995809754082,6.0,2,2.0,56
CHEMBL475251,-5.090312480926514,R-406,-5.115995809754082,6.0,1,2.0,57
CHEMBL3301606,-5.005535125732422,SOLCITINIB,-5.0206856299497575,6.6,2,2.0,58
CHEMBL4789639,-4.8458333015441895,BMS-986202,-4.853631545286591,7.8,1,1.0,59
CHEMBL5314920,-4.787668704986572,JNJ-64264681,-4.812194355422418,8.13,1,1.0,60
CHEMBL2103874,-4.662141799926758,OCLACITINIB,-4.653310561316027,9.53,2,2.0,61
CHEMBL3301607,-4.612775802612305,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62
CHEMBL4650343,-4.591971397399902,IZENCITINIB,-4.605170185988091,10.0,1,2.0,63
CHEMBL3039513,-4.536663055419922,DECERNOTINIB,-4.509860006183766,11.0,2,2.0,64
CHEMBL601719,-4.513360023498535,CRIZOTINIB,-4.509860006183766,11.0,2,4.0,65
CHEMBL4297477,-4.09259033203125,BREPOCITINIB,-4.074541934925921,17.0,2,3.0,66
CHEMBL3393066,-3.653078079223633,VS-5584,-3.649658740960655,26.0,2,1.0,67
