canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank
CHEMBL5095398,-6.1326637531382415,IVARMACITINIB,-6.214608098422191,2.0,2,3.0,42
CHEMBL3622820,-6.123137269249265,ITACITINIB,-6.214608098422191,2.0,2,3.0,43
CHEMBL191003,-6.00619123712291,JNJ-7706621,-6.907755278982137,1.0,1,0.0,44
CHEMBL4072833,-5.9985726600282785,EVOBRUTINIB,-6.303439312128807,1.83,1,3.0,45
CHEMBL3137308,-5.893146382156857,PEFICITINIB,-5.546778725846536,3.9,2,4.0,46
CHEMBL1795071,-5.880876988161373,RUXOLITINIB PHOSPHATE,-5.8781358618009785,2.8,2,4.0,47
CHEMBL288441,-5.693216102820296,BOSUTINIB,-5.991464547107982,2.5,1,4.0,48
CHEMBL2103743,-5.621373675384049,TOFACITINIB CITRATE,-5.744604469176456,3.2,2,4.0,49
CHEMBL4594275,-5.572227270901247,GUSACITINIB,-5.521460917862246,4.0,2,2.0,50
CHEMBL5083772,-5.45271463737952,BIIB-091,-5.221356325411908,5.4,1,2.0,51
CHEMBL2107823,-5.332769003215104,GANDOTINIB,-5.809142990314028,3.0,2,2.0,52
CHEMBL4116008,-5.295098908500336,CERDULATINIB,-5.115995809754082,6.0,2,2.0,53
CHEMBL3655081,-5.256788000422996,ABROCITINIB,-5.278514739251857,5.1,2,4.0,54
CHEMBL3301606,-5.180594187318882,SOLCITINIB,-5.0206856299497575,6.6,2,2.0,55
CHEMBL4071161,-5.0683480412671384,TIRABRUTINIB,-5.259096653394756,5.2,1,4.0,56
CHEMBL2103874,-5.061442466736678,OCLACITINIB,-4.653310561316027,9.53,2,2.0,57
CHEMBL3301607,-4.970482664763819,FILGOTINIB,-4.605170185988091,10.0,2,4.0,58
CHEMBL475251,-4.9356658365794335,R-406,-5.115995809754082,6.0,1,2.0,59
CHEMBL4435170,-4.929524386632483,DEUCRAVACITINIB,-5.298317366548036,5.0,2,4.0,60
CHEMBL4789639,-4.850562184930175,BMS-986202,-4.853631545286591,7.8,1,1.0,61
CHEMBL601719,-4.837150339971473,CRIZOTINIB,-4.509860006183766,11.0,2,4.0,62
CHEMBL5314920,-4.668142551409701,JNJ-64264681,-4.812194355422418,8.13,1,1.0,63
