canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank
CHEMBL4594441,-6.158485385798876,IFIDANCITINIB,-6.165817934252759,2.1,1,2.0,43
CHEMBL288441,-5.986931410738058,BOSUTINIB,-5.991464547107982,2.5,1,4.0,44
CHEMBL4297507,-5.948405246681777,DELGOCITINIB,-5.952243833954701,2.6,2,3.0,45
CHEMBL1795071,-5.875709476842272,RUXOLITINIB PHOSPHATE,-5.8781358618009785,2.8,2,4.0,46
CHEMBL3707348,-5.8058422526220355,ACALABRUTINIB,-5.809142990314028,3.0,1,4.0,47
CHEMBL2107823,-5.804279317200181,GANDOTINIB,-5.809142990314028,3.0,2,2.0,48
CHEMBL2103743,-5.739577336696936,TOFACITINIB CITRATE,-5.744604469176456,3.2,2,4.0,49
CHEMBL3137308,-5.542065305235985,PEFICITINIB,-5.546778725846536,3.9,2,4.0,50
CHEMBL4594275,-5.5171842978254615,GUSACITINIB,-5.521460917862246,4.0,2,2.0,51
CHEMBL4435170,-5.294305095995694,DEUCRAVACITINIB,-5.298317366548036,5.0,2,4.0,52
CHEMBL3655081,-5.274894105412635,ABROCITINIB,-5.278514739251857,5.1,2,4.0,53
CHEMBL4071161,-5.256865343369286,TIRABRUTINIB,-5.259096653394756,5.2,1,4.0,54
CHEMBL5083772,-5.218444820582079,BIIB-091,-5.221356325411908,5.4,1,2.0,55
CHEMBL4116008,-5.113969683607096,CERDULATINIB,-5.115995809754082,6.0,2,2.0,56
CHEMBL475251,-5.112955177199756,R-406,-5.115995809754082,6.0,1,2.0,57
CHEMBL3301606,-5.016785153768766,SOLCITINIB,-5.0206856299497575,6.6,2,2.0,58
CHEMBL4789639,-4.852727198170941,BMS-986202,-4.853631545286591,7.8,1,1.0,59
CHEMBL5314920,-4.809400685205071,JNJ-64264681,-4.812194355422418,8.13,1,1.0,60
CHEMBL2103874,-4.651698626990971,OCLACITINIB,-4.653310561316027,9.53,2,2.0,61
CHEMBL3301607,-4.604745749160865,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62
CHEMBL4650343,-4.603364570758982,IZENCITINIB,-4.605170185988091,10.0,1,2.0,63
CHEMBL3039513,-4.50930944707598,DECERNOTINIB,-4.509860006183766,11.0,2,2.0,64
CHEMBL601719,-4.507838695359387,CRIZOTINIB,-4.509860006183766,11.0,2,4.0,65
CHEMBL4297477,-4.075798867599407,BREPOCITINIB,-4.074541934925921,17.0,2,3.0,66
CHEMBL3393066,-3.6496585172552343,VS-5584,-3.649658740960655,26.0,2,1.0,67
CHEMBL3137331,-3.5671654863233524,DEFACTINIB,-3.568078753968232,28.21,1,3.0,68
CHEMBL3647420,-3.452665659288418,PYROTINIB,-3.451438598098902,31.7,1,3.0,69
CHEMBL1171837,-3.4381271038121866,PONATINIB,-3.4357888264317746,32.2,2,4.0,70
CHEMBL43452,-3.41250596708107,POMALIDOMIDE,-3.4112477175156566,33.0,1,4.0,71
