canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank
CHEMBL4436748,-1.2642044754308905,SR-318,-1.2623083813388996,283.0,1,0.0,96
CHEMBL1738757,-1.1163540056115495,REBASTINIB,-1.1086626245216111,330.0,2,2.0,97
CHEMBL575448,-1.0656350363877112,BMS-754807,-1.058430499035278,347.0,2,2.0,98
CHEMBL188343,-1.0550543914260786,REVERSINE,-1.0498221244986778,350.0,2,0.0,99
CHEMBL4650338,-0.7106392343917783,EDRALBRUTINIB,-0.6831968497067772,505.0,1,2.0,100
CHEMBL5856622,-0.6134565253104705,LEPZACITINIB,-0.5978370007556204,550.0,1,2.0,101
CHEMBL4085457,-0.5070688786029943,RITLECITINIB,-0.4992264879226388,607.0,2,4.0,102
CHEMBL2403108,-0.5015828881589246,CERITINIB,-0.4942963218147801,610.0,3,4.0,103
CHEMBL4207852,-0.4781704324190342,MIZACORAT,-0.4604494164409239,631.0,1,2.0,104
CHEMBL4596392,-0.18815860890956174,CRAVACITINIB,-0.1743533871447778,840.0,1,4.0,105
CHEMBL4648362,-0.14262361728489634,GSK789,-0.13926206733350766,870.0,1,0.0,106
CHEMBL58,-0.07322488530359425,MITOXANTRONE,0.0,1000.0,1,4.0,107
CHEMBL279785,-0.025805404016557447,MARIMASTAT,0.0009995003330834232,1001.0,1,3.0,108
CHEMBL4088216,-0.025274147453201296,TP-030-1,0.0,1000.0,1,0.0,109
CHEMBL4549667,-0.018296253395930363,TP-030-2,0.0,1000.0,1,0.0,110
CHEMBL4097778,-0.013526845485357758,TP-030n,0.0,1000.0,2,0.0,111
CHEMBL509032,0.4040954556594558,TAE-684,0.40879289820083897,1505.0,1,0.0,112
CHEMBL1834657,1.0432022722327243,INFIGRATINIB PHOSPHATE,1.0584844975773304,2882.0,1,4.0,113
CHEMBL1852688,1.0432022722327243,INFIGRATINIB,1.0584844975773304,2882.0,1,4.0,114
CHEMBL553,1.367542038018161,ERLOTINIB,1.3862943611198906,4000.0,1,4.0,115
CHEMBL585,1.5084060836452637,TRIAMTERENE,1.5288784045756836,4613.0,1,4.0,116
CHEMBL490355,1.7823800417345508,SULFURETIN,1.7950872593207297,6020.0,2,0.0,117
CHEMBL564201,1.890291430092086,6-AZAURIDINE,1.9166284512739242,6798.0,1,0.0,118
CHEMBL565612,1.9500702876200156,SOTRASTAURIN,1.9878743481543455,7300.0,1,2.0,119
CHEMBL409450,2.038435760716578,6BIO,2.0794415416798357,8000.0,1,0.0,120
CHEMBL1448,2.276209186838108,NICLOSAMIDE,2.302585092994046,10000.0,1,4.0,121
CHEMBL273019,2.509291447569123,BERGENIN,2.5257286443082556,12500.0,1,-1.0,122
CHEMBL704,2.963617795513826,MESALAMINE,2.995732273553991,20000.0,1,4.0,123
CHEMBL3818247,2.9989932285230205,DALMELITINIB,3.0469955674915323,21052.0,1,2.0,124
CHEMBL18701,3.8746781263855268,RO-201724,3.912023005428146,50000.0,1,0.0,125
CHEMBL4094440,3.890628904778584,BMS-919373,3.912023005428146,50000.0,2,2.0,126
CHEMBL628,4.393805023994175,PENTOXIFYLLINE,4.442651256490317,85000.0,1,4.0,127
