gene,cluster,n,mutated,frequency
TP53,0,209,150,0.7177033492822966
TP53,1,16,8,0.5
CDKN2A,0,209,47,0.22488038277511962
CDKN2A,1,16,2,0.125
PIK3CA,0,209,36,0.1722488038277512
PIK3CA,1,16,1,0.0625
NOTCH1,0,209,34,0.16267942583732056
NOTCH1,1,16,2,0.125
FAT1,0,209,41,0.19617224880382775
FAT1,1,16,4,0.25
CASP8,0,209,15,0.07177033492822966
CASP8,1,16,3,0.1875
