cluster,n_patients,median_OS_months,deceased_fraction,HPV_positive_fraction,HPV_negative_fraction,TP53_mutation_frequency,CDKN2A_mutation_frequency,PIK3CA_mutation_frequency,NOTCH1_mutation_frequency,FAT1_mutation_frequency,CASP8_mutation_frequency
0,209,20.40246406570842,0.45933014354066987,0.09090909090909091,0.14354066985645933,0.7177033492822966,0.22488038277511962,0.1722488038277512,0.16267942583732056,0.19617224880382775,0.07177033492822966
1,16,33.57700205338809,0.3125,0.0,0.0,0.5,0.125,0.0625,0.125,0.25,0.1875
