model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
LightGBM,CHEMBL1873475,IBRUTINIB,2,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.24691358024691357,3,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.32941176470588235,3,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.24242424242424243,-7,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.25287356321839083,-4,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.25287356321839083,1,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.25287356321839083,0,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.25287356321839083,1,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.25287356321839083,0,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.24731182795698925,95,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.23863636363636365,1,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.23529411764705882,0,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.2465753424657534,0,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.2465753424657534,0,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.25287356321839083,0,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.25287356321839083,0,no_data
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.25287356321839083,0,no_data
