family,stem,eval_mode,model,train_spearman_mean,val_spearman_mean,train_spearman_std,val_spearman_std,gap_spearman_mean,diagnostic,json_file
dl,stad_numeric_dl_v1,cv5,DL_MLP_2x1024,0.8197527921550177,0.791285852464982,0.005242264881016171,0.015706382634166998,0.028466939690035865,,stad_numeric_dl_v1_cv5.json
dl,stad_numeric_dl_v1,cv5,DL_MLP_2x512,0.7970497375022634,0.7699283451435438,0.02591169458947535,0.029159386386682504,0.027121392358719597,,stad_numeric_dl_v1_cv5.json
dl,stad_numeric_dl_v1,cv5,DL_MLP_3x512,0.8375820106573091,0.8043211999412542,0.013149495436868771,0.012461231469875714,0.03326081071605509,,stad_numeric_dl_v1_cv5.json
dl,stad_numeric_dl_v1,cv5,DL_MLP_ResidualStyle,0.8296105707025596,0.8026130105557773,0.020339727701796026,0.012511279898378955,0.02699756014678232,,stad_numeric_dl_v1_cv5.json
dl,stad_numeric_dl_v1,cv5,DL_MLP_SELU_3x256,0.8562769690474772,0.8204389090827904,0.012957588417595416,0.019028715574559877,0.03583805996468688,,stad_numeric_dl_v1_cv5.json
dl,stad_numeric_dl_v1,cv5,DL_MLP_WideNarrow,0.8206937197810854,0.7858246222067506,0.025147460737591644,0.018266793617009305,0.03486909757433487,,stad_numeric_dl_v1_cv5.json
dl,stad_numeric_dl_v1,groupcv,DL_MLP_1024_512_256,0.6229641573788088,0.44314914830476265,0.09738820043858204,0.03399678664912792,0.17981500907404616,Overfitting detected in 2 fold(s),stad_numeric_dl_v1_groupcv.json
dl,stad_numeric_dl_v1,groupcv,DL_MLP_2x1024,0.7353481116015635,0.5008660706878253,0.106432699450434,0.032273338102120276,0.23448204091373817,Overfitting detected in 2 fold(s),stad_numeric_dl_v1_groupcv.json
dl,stad_numeric_dl_v1,groupcv,DL_MLP_2x512,0.8069565605775447,0.5191881505979837,0.03467529159865936,0.007288666880023914,0.28776840997956094,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_groupcv.json
dl,stad_numeric_dl_v1,groupcv,DL_MLP_3x512,0.7192973583534227,0.4885139527868286,0.08312965163725478,0.022018253497910385,0.23078340556659413,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_groupcv.json
dl,stad_numeric_dl_v1,groupcv,DL_MLP_ResidualStyle,0.8097316382369012,0.5105636754897782,0.017363580988575725,0.005963740328464521,0.2991679627471228,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_groupcv.json
dl,stad_numeric_dl_v1,groupcv,DL_MLP_SELU_3x256,0.8313253713069423,0.5192463000958533,0.023568382416053277,0.04045239270576835,0.31207907121108897,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_groupcv.json
dl,stad_numeric_dl_v1,groupcv,DL_MLP_WideNarrow,0.7986752411982135,0.5208639431100527,0.018968424480499707,0.027023380219883153,0.2778112980881609,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_groupcv.json
dl,stad_numeric_dl_v1,scaffoldcv,DL_MLP_1024_512_256,0.6239634529310963,0.4143610972227559,0.09643402097053641,0.07075320128505311,0.20960235570834032,Overfitting detected in 1 fold(s),stad_numeric_dl_v1_scaffoldcv.json
dl,stad_numeric_dl_v1,scaffoldcv,DL_MLP_2x1024,0.6591572060368001,0.4030142345720938,0.10068005205196214,0.08716940190328991,0.25614297146470616,Overfitting detected in 2 fold(s),stad_numeric_dl_v1_scaffoldcv.json
dl,stad_numeric_dl_v1,scaffoldcv,DL_MLP_2x512,0.7640071229515777,0.401430886806233,0.06243119638530214,0.06649472416575668,0.3625762361453446,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_scaffoldcv.json
dl,stad_numeric_dl_v1,scaffoldcv,DL_MLP_3x512,0.6218186783375725,0.4206648472845922,0.08431177511956746,0.09743282427732738,0.20115383105298035,Overfitting detected in 2 fold(s),stad_numeric_dl_v1_scaffoldcv.json
dl,stad_numeric_dl_v1,scaffoldcv,DL_MLP_ResidualStyle,0.7207332910489654,0.3884156258123967,0.07267330788476878,0.07549462312973962,0.33231766523656886,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_scaffoldcv.json
dl,stad_numeric_dl_v1,scaffoldcv,DL_MLP_SELU_3x256,0.6651856096420256,0.34764604017757356,0.22141060988430455,0.15381614041854147,0.31753956946445205,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_scaffoldcv.json
dl,stad_numeric_dl_v1,scaffoldcv,DL_MLP_WideNarrow,0.771817104806741,0.40407404904952277,0.04115498389027449,0.05296116236674278,0.3677430557572183,Overfitting detected in 3 fold(s),stad_numeric_dl_v1_scaffoldcv.json
dl,stad_numeric_smiles_dl_v1,cv5,DL_MLP_1024_512_256,0.8363171822790834,0.8051436624242374,0.0119934248571937,0.018936116652295734,0.031173519854845975,,stad_numeric_smiles_dl_v1_cv5.json
dl,stad_numeric_smiles_dl_v1,cv5,DL_MLP_2x1024,0.8224932633595154,0.7973526767998933,0.015875479238791568,0.019041418210327402,0.0251405865596221,,stad_numeric_smiles_dl_v1_cv5.json
dl,stad_numeric_smiles_dl_v1,cv5,DL_MLP_2x512,0.8263569575370372,0.7999996604707913,0.01812733008494407,0.022069378475199394,0.0263572970662459,,stad_numeric_smiles_dl_v1_cv5.json
dl,stad_numeric_smiles_dl_v1,cv5,DL_MLP_3x512,0.8335719497772164,0.8035318032069544,0.008741002526597331,0.013355832177021722,0.030040146570262084,,stad_numeric_smiles_dl_v1_cv5.json
dl,stad_numeric_smiles_dl_v1,cv5,DL_MLP_ResidualStyle,0.8326498684542228,0.8042155822367499,0.021426074207266263,0.01581781047023294,0.028434286217472883,,stad_numeric_smiles_dl_v1_cv5.json
dl,stad_numeric_smiles_dl_v1,cv5,DL_MLP_SELU_3x256,0.8582455877039397,0.8205594861220726,0.01761110339956678,0.01606801512162676,0.037686101581866985,,stad_numeric_smiles_dl_v1_cv5.json
dl,stad_numeric_smiles_dl_v1,cv5,DL_MLP_WideNarrow,0.8283355024741947,0.8000406453067168,0.014748228475292275,0.02035256217313222,0.028294857167477906,,stad_numeric_smiles_dl_v1_cv5.json
dl,stad_numeric_smiles_dl_v1,groupcv,DL_MLP_1024_512_256,0.7279761309426167,0.5018511258125874,0.09576938027940414,0.01891385412414122,0.22612500513002934,Overfitting detected in 2 fold(s),stad_numeric_smiles_dl_v1_groupcv.json
dl,stad_numeric_smiles_dl_v1,groupcv,DL_MLP_2x1024,0.702247929080047,0.48551920050966463,0.10537896950982065,0.04530218493322384,0.21672872857038228,Overfitting detected in 2 fold(s),stad_numeric_smiles_dl_v1_groupcv.json
dl,stad_numeric_smiles_dl_v1,groupcv,DL_MLP_2x512,0.740614543898392,0.5097613801523838,0.13795159546784697,0.04882340871148886,0.23085316374600814,Overfitting detected in 2 fold(s),stad_numeric_smiles_dl_v1_groupcv.json
