cluster,G1,G2,G3,G4
0,0.16981132075471697,0.46226415094339623,0.3490566037735849,0.018867924528301886
1,0.3,0.5,0.2,0.0
2,0.12903225806451613,0.3870967741935484,0.3870967741935484,0.0967741935483871
