cluster,n_patients,TERT_cna_available_n,TERT_cna_amp_n,TERT_cna_amp_rate,TERT_cna_high_amp_n,TERT_cna_high_amp_rate,TERT_log2_cna_median,TERT_log2_cna_mean
0,108,105,41,0.37962962962962965,7,0.06481481481481481,0.019,0.30789523809523817
1,21,20,12,0.5714285714285714,2,0.09523809523809523,0.3075,0.41514999999999996
2,94,94,42,0.44680851063829785,3,0.031914893617021274,0.041499999999999995,0.3022446808510639
