model,eval_mode,spearman,spearman_p,rmse,mae,r2,n_train,n_test,n_features,image_feature_count
baseline_no_image,holdout,0.492076192049355,9.397680584315723e-43,2.278526561703619,1.7286244630813599,0.2747591733932495,2716,680,3,0
baseline_no_image,cv5,0.48639974153695886,3.1211715402479836e-201,2.2323628748445157,1.6801705485691742,0.2736156008735616,3396,3396,3,0
baseline_no_image,groupcv,0.4654024904657574,3.621317937949272e-182,2.3205710407636055,1.733325127790538,0.2150777108995332,3396,3396,3,0
baseline_no_image,scaffoldcv,0.4654024904657574,3.621317937949272e-182,2.3205710407636055,1.733325127790538,0.2150777108995332,3396,3396,3,0
baseline_plus_image,holdout,0.492076192049355,9.397680584315723e-43,2.278526561703619,1.7286244630813599,0.2747591733932495,2716,680,1539,1536
baseline_plus_image,cv5,0.48639974153695886,3.1211715402479836e-201,2.2323628748445157,1.6801705485691742,0.2736156008735616,3396,3396,1539,1536
baseline_plus_image,groupcv,0.4654024904657574,3.621317937949272e-182,2.3205710407636055,1.733325127790538,0.2150777108995332,3396,3396,1539,1536
baseline_plus_image,scaffoldcv,0.4654024904657574,3.621317937949272e-182,2.3205710407636055,1.733325127790538,0.2150777108995332,3396,3396,1539,1536
