index,part,slide_id,source_file,tcga_case_id,best_cluster,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10
43,part00,TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B,_tmp_merge_shard00/part00/slide_embedding_TCGA-A7-A4SB-01Z-00-DX1.E8925605-5189-441E-A719-92CFC1118B0B_20260430_v1.npy,TCGA-A7-A4SB,C0,-29.195131,2.950708,-10.074904,12.549934,8.87329,12.85721,12.427522,0.3304431,5.9317555,-1.9999
44,part00,TCGA-A7-A4SC-01Z-00-DX1.171E89D2-2D64-4C3F-A42C-B1167654858B,_tmp_merge_shard00/part00/slide_embedding_TCGA-A7-A4SC-01Z-00-DX1.171E89D2-2D64-4C3F-A42C-B1167654858B_20260430_v1.npy,TCGA-A7-A4SC,C0,-23.255516,12.2486725,4.08491,14.704312,11.097805,-4.3577623,2.0950038,-12.92653,-1.4325608,-5.0440474
45,part00,TCGA-A7-A4SD-01Z-00-DX1.677152B3-17B2-42DB-AEEC-C9509ACCE831,_tmp_merge_shard00/part00/slide_embedding_TCGA-A7-A4SD-01Z-00-DX1.677152B3-17B2-42DB-AEEC-C9509ACCE831_20260430_v1.npy,TCGA-A7-A4SD,C2,9.740073,-5.721878,-17.520264,-2.2468617,-1.8319067,-10.237569,-2.9676876,-1.6596208,5.485177,-5.3635793
46,part00,TCGA-A7-A5ZW-01Z-00-DX1.5F571EE3-A1A3-4604-BE89-1A46E0EC508B,_tmp_merge_shard00/part00/slide_embedding_TCGA-A7-A5ZW-01Z-00-DX1.5F571EE3-A1A3-4604-BE89-1A46E0EC508B_20260430_v1.npy,TCGA-A7-A5ZW,C2,0.27023035,2.5222156,-17.35499,6.5765605,9.268817,0.31653997,5.5836744,8.385467,-0.45726126,0.8600901
47,part00,TCGA-A7-A6VW-01Z-00-DX1.1BC4790C-DB45-4A3D-9C97-92C92C03FF60,_tmp_merge_shard00/part00/slide_embedding_TCGA-A7-A6VW-01Z-00-DX1.1BC4790C-DB45-4A3D-9C97-92C92C03FF60_20260430_v1.npy,TCGA-A7-A6VW,C2,3.7964554,3.4734557,-19.385237,5.387858,2.7468376,-8.294655,-2.8165474,2.7188337,4.9933767,-3.2228684
48,part00,TCGA-A8-A06R-01Z-00-DX1.41476D0D-BA72-4FB8-B143-9EB679F26D28,_tmp_merge_shard00/part00/slide_embedding_TCGA-A8-A06R-01Z-00-DX1.41476D0D-BA72-4FB8-B143-9EB679F26D28_20260430_v1.npy,TCGA-A8-A06R,C1,7.178111,-28.983858,4.3426056,11.351701,7.6987677,-8.10961,-6.284038,-3.0054007,4.7463017,2.251633
49,part00,TCGA-A8-A06Y-01Z-00-DX1.3BC58446-524E-43F3-AAE6-FBC4AA543E66,_tmp_merge_shard00/part00/slide_embedding_TCGA-A8-A06Y-01Z-00-DX1.3BC58446-524E-43F3-AAE6-FBC4AA543E66_20260430_v1.npy,TCGA-A8-A06Y,C1,-0.068012185,-25.275019,2.9875622,13.236136,10.948081,-5.700269,-8.644434,-2.4196844,1.9158964,1.9759407
50,part01,TCGA-A8-A06Z-01Z-00-DX1.2BC8B71D-E01B-4CC1-B5E7-09BB54A5E1F8,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A06Z-01Z-00-DX1.2BC8B71D-E01B-4CC1-B5E7-09BB54A5E1F8_20260430_v1.npy,TCGA-A8-A06Z,C1,3.1936522,-28.761068,1.8861272,9.6349535,7.6209435,-3.8522406,-10.412945,1.9667253,1.7459829,-2.340069
51,part01,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA_20260430_v1.npy,TCGA-A8-A07B,C1,-3.3021343,-30.247404,5.921583,10.678899,7.7255797,-0.76372933,-6.7440186,-1.3812789,2.1791744,-1.9356351
52,part01,TCGA-A8-A07C-01Z-00-DX1.1F069BCA-D2B3-49CF-81FD-9EBA49A3439F,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A07C-01Z-00-DX1.1F069BCA-D2B3-49CF-81FD-9EBA49A3439F_20260430_v1.npy,TCGA-A8-A07C,C1,2.1024742,-26.773745,4.073014,10.968763,6.944929,-6.038503,-14.199189,-1.0791022,3.771618,-0.709431
